Artikel-ID;Hersteller;K24-Nr.;Hersteller-Artikel-Nr.;Interne EAN;Artikel Eigenschaften:Artikelstatus;Katalog:Ausleitung Core-System seit!Date;Data Warehouse Informationen:Absatz 12. Monate rollierend
4720706;FAL;1320-124199;335963;2509557309416;1;2021-04-26;2,00
4014760;FRX;1520-137542;FDS2199;2509550249955;3;2021-04-27;0,00
4720652;FAL;1320-124236;326677;2509557308877;1;2021-04-26;0,00
4720653;FAL;1320-124235;326678;2509557308884;1;2021-04-26;0,00
4720654;FAL;1310-111811;331784;2509557308891;1;2021-04-26;0,00
4720655;FAL;1310-111810;331785;2509557308907;1;2021-04-26;0,00
4720656;FAL;1310-111809;331786;2509557308914;1;2021-04-26;0,00
4720657;FAL;1310-111808;331787;2509557308921;1;2021-04-26;0,00
4720658;FAL;1310-111807;331788;2509557308938;1;2021-04-26;0,00
4720659;FAL;1321-104024;332600JP;2509557308945;1;2021-04-26;0,00
4720660;FAL;1310-111806;332818;2509557308952;1;2021-04-26;0,00
4720661;FAL;1320-124234;332895;2509557308969;1;2021-04-26;0,00
4720662;FAL;1310-111805;333016;2509557308976;1;2021-04-26;0,00
4720663;FAL;1320-124233;333576;2509557308983;1;2021-04-26;0,00
4720664;FAL;1320-124232;333578;2509557308990;1;2021-04-26;0,00
4720665;FAL;1320-124231;333579;2509557309003;1;2021-04-26;0,00
4720666;FAL;1320-124230;333580;2509557309010;1;2021-04-26;0,00
4720667;FAL;1320-124229;333581;2509557309027;1;2021-04-26;0,00
4720668;FAL;1320-124228;333583;2509557309034;1;2021-04-26;0,00
4720669;FAL;1320-124227;333754;2509557309041;1;2021-04-26;0,00
4720670;FAL;1320-124226;333755;2509557309058;1;2021-04-26;0,00
4720671;FAL;1320-124225;333756;2509557309065;1;2021-04-26;0,00
4720672;FAL;1320-124224;333758;2509557309072;1;2021-04-26;0,00
4720673;FAL;1320-124223;333759;2509557309089;1;2021-04-26;0,00
4720674;FAL;1320-124222;333760;2509557309096;1;2021-04-26;0,00
4720675;FAL;1320-124221;333761;2509557309102;1;2021-04-26;0,00
4720676;FAL;1320-124220;333762;2509557309119;1;2021-04-26;0,00
4720677;FAL;1320-124219;333763;2509557309126;1;2021-04-26;0,00
4720678;FAL;1320-124218;333764;2509557309133;1;2021-04-26;0,00
4720679;FAL;1320-124217;333765;2509557309140;1;2021-04-26;0,00
4720680;FAL;1320-124216;333766;2509557309157;1;2021-04-26;0,00
4720681;FAL;1320-124215;333767;2509557309164;1;2021-04-26;0,00
4720682;FAL;1320-124214;333768;2509557309171;1;2021-04-26;0,00
4720683;FAL;1320-124213;333769;2509557309188;1;2021-04-26;0,00
4720684;FAL;1320-124212;333770;2509557309195;1;2021-04-26;0,00
4720685;FAL;1320-124211;334612;2509557309201;1;2021-04-26;0,00
4720686;FAL;1320-124210;334620;2509557309218;1;2021-04-26;0,00
4720687;FAL;1320-124209;334631;2509557309225;1;2021-04-26;0,00
4720688;FAL;1310-111804;335541;2509557309232;1;2021-04-26;0,00
4720689;FAL;1310-111803;335542;2509557309249;1;2021-04-26;0,00
4720690;FAL;1310-111802;335549;2509557309256;1;2021-04-26;0,00
4720691;FAL;1310-111801;335748;2509557309263;1;2021-04-26;0,00
4720692;FAL;1310-111800;335765;2509557309270;1;2021-04-26;0,00
4720693;FAL;1310-111799;335766;2509557309287;1;2021-04-26;0,00
4720694;FAL;1310-111798;335767;2509557309294;1;2021-04-26;0,00
4720695;FAL;1310-111797;335768;2509557309300;1;2021-04-26;0,00
4720696;FAL;1310-111796;335770;2509557309317;1;2021-04-26;0,00
4720697;FAL;1320-124208;335954;2509557309324;1;2021-04-26;0,00
4720698;FAL;1320-124207;335955;2509557309331;1;2021-04-26;0,00
4720699;FAL;1320-124206;335956;2509557309348;1;2021-04-26;0,00
4720700;FAL;1320-124205;335957;2509557309355;1;2021-04-26;0,00
4720701;FAL;1320-124204;335958;2509557309362;1;2021-04-26;0,00
4720702;FAL;1320-124203;335959;2509557309379;1;2021-04-26;0,00
4720703;FAL;1320-124202;335960;2509557309386;1;2021-04-26;0,00
4720704;FAL;1320-124201;335961;2509557309393;1;2021-04-26;0,00
4720705;FAL;1320-124200;335962;2509557309409;1;2021-04-26;0,00
4720707;FAL;1320-124198;335964;2509557309423;1;2021-04-26;0,00
4720708;FAL;1310-111795;336204;2509557309430;1;2021-04-26;0,00
4720709;FAL;1320-124197;336339;2509557309447;1;2021-04-26;0,00
4720710;FAL;1320-124196;336340;2509557309454;1;2021-04-26;0,00
4720711;FAL;1320-124195;336341;2509557309461;1;2021-04-26;0,00
4720712;FAL;1320-124194;336342;2509557309478;1;2021-04-26;0,00
4720713;FAL;1320-124193;336343;2509557309485;1;2021-04-26;0,00
4720714;FAL;1320-124192;336344;2509557309492;1;2021-04-26;0,00
4720715;FAL;1320-124191;336345;2509557309508;1;2021-04-26;0,00
4720716;FAL;1320-124190;336346;2509557309515;1;2021-04-26;0,00
4720717;FAL;1320-124189;336347;2509557309522;1;2021-04-26;0,00
4720718;FAL;1320-124188;336348;2509557309539;1;2021-04-26;0,00
4720719;FAL;1320-124187;336534;2509557309546;1;2021-04-26;0,00
