Jahr von Rechnungsdatum,Monat von Rechnungsdatum,Tag von Rechnungsdatum,Artikelnummer,Anzahl Bruttoauftragsartikel,Anzahl Nettoauftragsartikel,Zolltarifnummer
2021,März,1,1020-4667,0.00,-2.00,
2021,März,1,1020-8319,1.00,1.00,
2021,März,1,1020-15554,1.00,1.00,
2021,März,1,1020-117061,1.00,1.00,
2021,März,1,1030-8774,1.00,1.00,
2021,März,1,1115-0869,1.00,1.00,
2021,März,1,1115-102100,0.00,-1.00,
2021,März,1,1120-103496,1.00,1.00,
2021,März,1,1120-103650,1.00,1.00,
2021,März,1,1120-106196,1.00,1.00,
2021,März,1,1120-107794,1.00,1.00,
2021,März,1,1120-107795,1.00,1.00,
2021,März,1,1121-100253,1.00,1.00,
2021,März,1,1125-101415,1.00,1.00,
2021,März,1,1125-109636,1.00,1.00,
2021,März,1,1125-115916,1.00,1.00,
2021,März,1,1125-123277,1.00,1.00,
2021,März,1,1130-107781,1.00,1.00,
2021,März,1,1135-1396,2.00,2.00,
2021,März,1,1135-104874,2.00,2.00,
2021,März,1,1140-100199,1.00,1.00,
2021,März,1,1211-123740,1.00,1.00,
2021,März,1,1220-1639,1.00,1.00,
2021,März,1,1220-3587,0.00,-1.00,
2021,März,1,1220-14917,1.00,1.00,
2021,März,1,1220-19125,1.00,1.00,
2021,März,1,1220-19286,1.00,1.00,
2021,März,1,1220-19770,1.00,1.00,
2021,März,1,1220-110225,1.00,1.00,
2021,März,1,1240-1555,0.00,-1.00,
2021,März,1,1240-2742,0.00,-1.00,
2021,März,1,1240-2743,0.00,-1.00,
2021,März,1,1240-3228,1.00,1.00,
2021,März,1,1240-14399,1.00,1.00,
2021,März,1,1240-120214,1.00,1.00,
2021,März,1,1240-122357,1.00,1.00,
2021,März,1,1240-126052,1.00,1.00,
2021,März,1,1240-128803,1.00,1.00,
2021,März,1,1410-1069,1.00,1.00,
2021,März,1,1410-1431,1.00,1.00,
2021,März,1,1410-1918,1.00,1.00,
2021,März,1,1410-12987,1.00,1.00,
2021,März,1,1410-13394,1.00,1.00,
2021,März,1,1410-13556,1.00,1.00,
2021,März,1,1410-13862,1.00,1.00,
2021,März,1,1410-14343,1.00,1.00,
2021,März,1,1410-14933,1.00,1.00,
2021,März,1,1410-17331,1.00,1.00,
2021,März,1,1410-18292,1.00,1.00,
2021,März,1,1410-32470,1.00,1.00,
2021,März,1,1410-32583,1.00,1.00,
2021,März,1,1410-32584,1.00,1.00,
2021,März,1,1410-32986,0.00,-1.00,
2021,März,1,1410-32995,1.00,1.00,
2021,März,1,1410-34617,1.00,1.00,
2021,März,1,1410-35171,1.00,1.00,
2021,März,1,1410-35223,1.00,1.00,
2021,März,1,1410-35507,1.00,1.00,
2021,März,1,1410-137950,2.00,2.00,
2021,März,1,1410-137951,2.00,2.00,
2021,März,1,1420-0909,2.00,2.00,
2021,März,1,1420-12407,2.00,2.00,
2021,März,1,1420-12540,2.00,2.00,
2021,März,1,1420-12684,2.00,2.00,
2021,März,1,1420-12743,2.00,2.00,
2021,März,1,1420-13012,2.00,2.00,
2021,März,1,1420-13126,2.00,2.00,
2021,März,1,1420-14399,2.00,2.00,
2021,März,1,1420-15556,2.00,2.00,
2021,März,1,1420-22062,1.00,1.00,
2021,März,1,1420-22369,1.00,1.00,
2021,März,1,1420-46364,4.00,4.00,
2021,März,1,1420-47073,4.00,4.00,
2021,März,1,1420-48157,2.00,2.00,
2021,März,1,1420-49070,2.00,2.00,
2021,März,1,1420-53645,1.00,1.00,
2021,März,1,1420-55000,1.00,1.00,
2021,März,1,1420-59331,2.00,2.00,
2021,März,1,1420-131121,2.00,2.00,
2021,März,1,1420-159566,2.00,2.00,
2021,März,1,1435-37905,1.00,1.00,
2021,März,1,1435-42826,1.00,1.00,
2021,März,1,1435-43773,1.00,1.00,
2021,März,1,1435-123169,1.00,1.00,
2021,März,1,1435-123210,1.00,1.00,
2021,März,1,1435-123211,1.00,1.00,
2021,März,1,1435-125205,1.00,1.00,
2021,März,1,1435-PF01,2.00,2.00,
2021,März,1,1440-4121,2.00,2.00,
2021,März,1,1440-21838,1.00,1.00,
2021,März,1,1440-34220,1.00,1.00,
2021,März,1,1440-45493,1.00,1.00,
2021,März,1,1440-46599,1.00,1.00,
2021,März,1,1440-47377,1.00,1.00,
2021,März,1,1440-53258,1.00,1.00,
2021,März,1,1440-57574,2.00,2.00,
2021,März,1,1440-57608,2.00,2.00,
2021,März,1,1520-7227,4.00,4.00,
2021,März,1,1520-10364,1.00,1.00,
2021,März,1,1530-15095,1.00,1.00,
2021,März,1,1540-34714,1.00,1.00,
2021,März,1,1540-35054,1.00,1.00,
2021,März,1,1540-117008,1.00,1.00,
2021,März,1,1540-136686,2.00,2.00,
2021,März,1,1550-120118,2.00,2.00,
2021,März,1,1560-106514,1.00,1.00,
2021,März,1,1570-51366,0.00,-1.00,
2021,März,1,1570-51367,0.00,-1.00,
2021,März,1,1570-202741,2.00,2.00,
2021,März,1,1570-91112868,0.00,-1.00,
2021,März,1,1571-PF01,-1.00,-1.00,
2021,März,1,1572-100234,1.00,1.00,
2021,März,1,1580-0280,1.00,1.00,
2021,März,1,1610-11752,1.00,1.00,
2021,März,1,1610-56929,1.00,1.00,
2021,März,1,1610-58064,1.00,1.00,
2021,März,1,1620-2311,1.00,1.00,
2021,März,1,1620-6036,1.00,1.00,
2021,März,1,1620-174098,1.00,1.00,
2021,März,1,1620-174106,1.00,1.00,
2021,März,1,1640-30060,0.00,-1.00,
2021,März,1,1640-32626,1.00,1.00,
2021,März,1,1640-118334,1.00,1.00,
2021,März,1,1640-118365,0.00,-1.00,
2021,März,1,1640-120035,1.00,1.00,
2021,März,1,1710-6655,0.00,-1.00,
2021,März,1,1720-1611,1.00,1.00,
2021,März,1,1720-133242,1.00,1.00,
2021,März,1,1720-134000,1.00,1.00,
2021,März,1,1720-145539,1.00,1.00,
2021,März,1,1730-117472,1.00,1.00,
2021,März,1,1730-120283,1.00,1.00,
2021,März,1,1740-0099,0.00,-1.00,
2021,März,1,1810-17467,1.00,1.00,
2021,März,1,1810-102549,1.00,1.00,
2021,März,1,1810-111995,1.00,1.00,
2021,März,1,1830-7604,1.00,1.00,
2021,März,1,1920-1325,1.00,1.00,
2021,März,1,1920-1852,1.00,1.00,
2021,März,1,2010-3666,1.00,1.00,
2021,März,1,2010-8279,1.00,1.00,
2021,März,1,2010-8855,1.00,1.00,
2021,März,1,2010-9525,2.00,2.00,
2021,März,1,2010-10011,1.00,1.00,
2021,März,1,2010-10168,1.00,1.00,
2021,März,1,2010-10185,1.00,1.00,
2021,März,1,2010-108689,1.00,1.00,
2021,März,1,2010-113094,1.00,1.00,
2021,März,1,2020-1913,2.00,2.00,
2021,März,1,2020-1945,1.00,1.00,
2021,März,1,2020-2260,1.00,1.00,
2021,März,1,2020-5037,2.00,2.00,
2021,März,1,2020-5043,1.00,1.00,
2021,März,1,2020-5219,1.00,1.00,
2021,März,1,2020-5321,1.00,1.00,
2021,März,1,2020-5471,1.00,1.00,
2021,März,1,2020-5484,1.00,1.00,
2021,März,1,2020-5490,3.00,3.00,
2021,März,1,2020-5522,1.00,1.00,
2021,März,1,2020-5741,2.00,2.00,
2021,März,1,2020-102024,1.00,1.00,
2021,März,1,2020-105017,1.00,1.00,
2021,März,1,2020-105055,1.00,1.00,
2021,März,1,2030-2644,1.00,1.00,
2021,März,1,2030-4210,1.00,1.00,
2021,März,1,2030-101852,1.00,1.00,
2021,März,1,2030-105284,1.00,1.00,
2021,März,1,2040-1278,1.00,1.00,
2021,März,1,2040-3151,2.00,2.00,
2021,März,1,2040-3261,1.00,1.00,
2021,März,1,2040-3617,2.00,2.00,
2021,März,1,2040-3635,2.00,2.00,
2021,März,1,2040-4044,1.00,1.00,
2021,März,1,2040-4200,1.00,1.00,
2021,März,1,2040-101507,1.00,1.00,
2021,März,1,2040-109812,1.00,1.00,
2021,März,1,2110-2573,1.00,1.00,
2021,März,1,2120-0609,6.00,6.00,
2021,März,1,2120-3458,4.00,4.00,
2021,März,1,2120-3734,4.00,4.00,
2021,März,1,2120-101633,4.00,0.00,
2021,März,1,2140-8697,1.00,1.00,
2021,März,1,2140-106797,1.00,1.00,
2021,März,1,2260-17098,1.00,1.00,
2021,März,1,2260-121643,1.00,1.00,
2021,März,1,2270-2840,1.00,1.00,
2021,März,1,2270-2871,1.00,1.00,
2021,März,1,2270-4748,1.00,1.00,
2021,März,1,2270-5034,1.00,1.00,
2021,März,1,2270-126264,1.00,1.00,
2021,März,1,2271-105924,1.00,1.00,
2021,März,1,2310-0120,1.00,1.00,
2021,März,1,2310-6524,1.00,1.00,
2021,März,1,2310-10457,1.00,1.00,
2021,März,1,2310-101478,2.00,2.00,
2021,März,1,2311-7901,1.00,1.00,
2021,März,1,2311-8031,1.00,1.00,
2021,März,1,2311-8195,1.00,1.00,
2021,März,1,2313-3689,1.00,1.00,
2021,März,1,2320-100339,1.00,1.00,
2021,März,1,2330-100901,1.00,1.00,
2021,März,1,2330-101081,1.00,1.00,
2021,März,1,2330-104208,1.00,1.00,
2021,März,1,2340-1608,1.00,1.00,
2021,März,1,2340-1783,1.00,1.00,
2021,März,1,2340-1916,5.00,5.00,
2021,März,1,2340-10978,1.00,1.00,
2021,März,1,2350-7001,1.00,1.00,
2021,März,1,2350-7024,1.00,1.00,
2021,März,1,2350-102001,1.00,1.00,
2021,März,1,2360-0025,1.00,1.00,
2021,März,1,2360-0150,1.00,1.00,
2021,März,1,2360-0349,1.00,1.00,
2021,März,1,2360-0692,1.00,1.00,
2021,März,1,2360-0934,1.00,1.00,
2021,März,1,2360-1255,7.00,7.00,
2021,März,1,2360-1257,1.00,1.00,
2021,März,1,2360-17386,1.00,1.00,
2021,März,1,2360-17387,1.00,1.00,
2021,März,1,2360-17431,1.00,1.00,
2021,März,1,2360-17474,3.00,3.00,
2021,März,1,2360-17479,1.00,1.00,
2021,März,1,2360-104410,1.00,1.00,
2021,März,1,2360-106660,1.00,1.00,
2021,März,1,2370-4492,1.00,1.00,
2021,März,1,2370-7913,2.00,2.00,
2021,März,1,2380-1759,1.00,1.00,
2021,März,1,2380-5442,1.00,1.00,
2021,März,1,2380-5782,1.00,1.00,
2021,März,1,2380-6021,1.00,1.00,
2021,März,1,2380-6040,1.00,1.00,
2021,März,1,2380-7998,1.00,1.00,
2021,März,1,2380-8218,1.00,1.00,
2021,März,1,2380-8223,1.00,1.00,
2021,März,1,2380-8760,2.00,2.00,
2021,März,1,2380-100032,1.00,1.00,
2021,März,1,2380-100222,1.00,1.00,
2021,März,1,2380-101437,2.00,2.00,
2021,März,1,2380-104303,1.00,1.00,
2021,März,1,2380-107060,1.00,1.00,
2021,März,1,2380-107145,1.00,1.00,
2021,März,1,2380-108310,1.00,1.00,
2021,März,1,2380-111915,1.00,1.00,
2021,März,1,90101038,1.00,1.00,
2021,März,1,90104006,0.00,-1.00,
2021,März,1,90104014,20.00,20.00,
2021,März,1,90104016,34.00,34.00,
2021,März,1,90104017,13.00,13.00,
2021,März,1,90104020,11.00,10.00,
2021,März,1,90104023,14.00,14.00,
2021,März,1,90104028,1.00,1.00,
2021,März,1,AQC,1.00,1.00,
