Genart-Nr;Genart-DE;Genart-EN;Subcategory;Std-Desc;AssemblyGroup-DE;AssemblyGroup-EN;IsUniversalGenericArticle;IsDangerousGoods;IsHazardousSubstance
2364;20°-Kolbenlehre;20° Piston Position Template;Werkzeuge sonstiges;Lehre;Werkzeug, Universal;Tool, universal;1;0;0
2373;4-Kant-Schlüssel, Bremsbacken-Exzenter;Square Key, brake shoe eccentric;Werkzeuge sonstiges;4-Kant-Schlüssel;Werkzeug, Universal;Tool, universal;1;0;0
4903;4-Kant-Schlüssel, Kombi-Instrument;Square Key, instrument cluster;Handwerkzeuge;4-Kant-Schlüssel;Werkzeug, Universal;Tool, universal;1;0;0
3681;Abbiegescheinwerfer;Cornering Light;Scheinwerfer;Scheinwerfer;Beleuchtung;Lights;0;0;0
3682;Abbiegescheinwerfer;Cornering Light;Scheinwerfer;Scheinwerfer;Beleuchtung, Universal;Lighting System, universal;1;0;0
3781;Abbiegescheinwerfersatz;Cornering Light Set;Scheinwerfer;Scheinwerfersatz;Beleuchtung, Universal;Lighting System, universal;1;0;0
3780;Abbiegescheinwerfersatz;Cornering Light Set;Scheinwerfer;Scheinwerfersatz;Beleuchtung;Lights;0;0;0
6749;Abbrechklingensatz, Cutter;Snap-off Blade Set, cutter;Handwerkzeuge;Abbrechklingensatz;Werkzeug, Universal;Tool, universal;1;0;0
25955;Abdeckband;masking tape;Kleben & Dichten;Klebeband universal;NULL;NULL;1;0;0
2247;Abdeckblech, Bremssattel;Cover, brake caliper;Bremssattel Einzelteile;Blech;Bremsanlage;Braking System;0;0;0
1661;Abdeckblech, Bremstrommel;Cover Sheet, brake drum;Bremsenteile sonstiges;Blech;Bremsanlage;Braking System;0;0;0
2990;Abdeckblech, Staubschutz-Radlager;Cover Plate, dust-cover wheel bearing;Fahrwerk sonstiges;Blech;Radaufhängung;Wheel Suspension;0;0;0
11238;Abdeckblech-Gruppe;Cover plate group;Zubehör sonstiges;Abdeckblech-Gruppe;NULL;NULL;0;0;0
5904;Abdeckhaube Füll-/Entlüftungsgerät (Bremshydraulik);Cover, fill/bleeding unit (brake hydraulics);Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
4257;Abdeckkappe, Federträgerachse;Protecting Cap, spring support axle;Federung sonstiges;Kappe;Federung/Dämpfung;Suspension/Damping;0;0;0
11400;Abdeckkappe, Nachstellwelle;Cover plate, adjustment shaft;Zubehör sonstiges;Abdeckkappe, Nachstellwelle;NULL;NULL;0;0;0
2812;Abdeckkappe, Regensensor;Cover, rain sensor;elektrische Bauteile sonstiges;Kappe;Komfortsysteme, Universal;Comfort Systems, universal;1;0;0
2279;Abdeckkappe, Regensensor;Cover, rain sensor;elektrische Bauteile sonstiges;Kappe;Komfortsysteme;Comfort Systems;0;0;0
4378;Abdeckkappe, Schalter-Sitzlehnenverstellung;Cover, backrest adjustment switch;Komfortelektronik sonstiges;Kappe;Komfortsysteme;Comfort Systems;0;0;0
4377;Abdeckkappe, Schalter-Sitzverstellung;Cover, seat adjustment switch;Komfortelektronik sonstiges;Kappe;Komfortsysteme;Comfort Systems;0;0;0
4664;Abdeckkappe, Serviceventil;Cover Cap, service valve;Einzel- und Kleinteile Heizung & Klima;Kappe;Klimaanlage, Universal;Air Conditioning, universal;1;0;0
6116;Abdeckkappe, Steckgehäuse;Cover Cap, plug housing;Installationsmaterial;Kappe;Elektrische Universalteile;Electric Universal Parts;1;0;0
3559;Abdeckkappe, Türgriff;Cover, door handle;Türgriff;Kappe;Schließanlage;Lock System;0;0;0
11842;Abdeckkappen für Anhängevorrichtung PKW;Trailer tow-bar cap;Zubehör sonstiges;Abdeckkappen für Anhängevorrichtung PKW;NULL;NULL;1;0;0
26001;Abdeckpapier;Abdeckpapier;Abdecken und Reinigen;Papier;Karosserie / Lack;Karosserie / Lack;1;0;0
60148;Abdeckrahmen, Ladestation (Elektrofahrzeug);Cover frame, charging station (electric vehicle);elektrische Bauteile sonstiges;Rahmen;Hybrid-/Elektroantrieb;Hybrid/Electrical Drive;0;NULL;NULL
2751;Abdeckring, Bremsbackenbolzenbohrung;Cover Ring, brake-shoe pin bore;Bremsenteile sonstiges;Abdeckring;Bremsanlage;Braking System;0;0;0
2112;Abdeckring, Gelenkwellenmittellager;Cover Ring, propshaft centre bearing;Kardanwelle / -teile;Abdeckring;Achsantrieb;Axle Drive;0;0;0
7110;Abdeckscheibe, Exzenterschleifer;Cover Disc, random orbit sander;Handwerkzeuge;Abdeckscheibe;Werkzeug, Universal;Tool, universal;1;0;0
9250;Abdeckscheibe, Tiefenschleifer;Cover Disc, extended grinder;Mittelkonsole;Abdeckscheibe;Werkzeug, Universal;Tool, universal;1;0;0
15211;Abdeckstopfen, Innenraumverkleidung;Abdeckstopfen, Innenraumverkleidung;Karosserieteile sonstiges;Abdeckstopfen, Innenraumverkleidung;Karosserie;Body;1;0;0
6284;Abdecktuch;Cover Cloth;Werkstattaus-/einrichtung sonstiges;Abdecktuch;Werkstattausrüstung;Workshop Equipment;1;0;0
1447;Abdeckung;Cover;Karosserie Montageteile;Abdeckung;NULL;NULL;0;0;0
4806;Abdeckung, Abschlepphaken;Cover, tow hook;Karosserieteile sonstiges;Abdeckung;Karosserie, Universal;Body Parts, universal;1;0;0
4687;Abdeckung, Ausrücklagerwelle-Kupplung;Cover, clutch release bearing shaft;Kupplung sonstiges;Abdeckung;Kupplung;Clutch;0;0;0
3257;Abdeckung, Außenspiegel;Cover, outside mirror;Fahrerhaus sonstiges;Abdeckung;Fahrerhaus;Driver Cab;0;0;0
23;Abdeckung, Außenspiegel;Cover, outside mirror;Fahrzeugspiegel aussen;Abdeckung;Karosserie;Body;0;0;0
3830;Abdeckung, Außenspiegelhalter;Cover, external mirror holder;Karosserieteile sonstiges;Abdeckung;Karosserie;Body;0;0;0
4380;Abdeckung, Batteriepolklemme;Cover, battery post clamp;Zubehör Batterien;Abdeckung;Elektrische Universalteile;Electric Universal Parts;1;0;0
5007;Abdeckung, Bremsnockenwelle;Cover, brake camshaft;Bremsenteile sonstiges;Abdeckung;Bremsanlage;Braking System;0;0;0
5226;Abdeckung, Bremsprüfstand;Cover, brake tester;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
15820;Abdeckung, Dachträgeraufnahme;Cover, roof carrier mount;Transportsysteme sonstiges;Abdeckung;Karosserie;Body;0;0;0
3703;Abdeckung, Drehstab;Cover, torsion bar;Fahrwerk sonstiges;Abdeckung;Radaufhängung;Wheel Suspension;0;0;0
3889;Abdeckung, Einspritzdüse;Cover, injector nozzle;Einspritzanlage;Abdeckung;Gemischaufbereitung;Mixture Formation;0;0;0
4403;Abdeckung, Frischluftkanal (Innenraumluft);Cover, fresh air conduit (passenger compartment air);Luftführung;Abdeckung;Karosserie;Body;0;0;0
1558;Abdeckung, Frontschürze;Cover, front apron;Karosserie Montageteile;Abdeckung;Karosserie;Body;0;0;0
5238;Abdeckung, Geschwindigkeitsprüfstand;Cover, speed tester;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
1346;Abdeckung, Griffmulde;Cover, handle recess;Karosserie Montageteile;Abdeckung;Karosserie;Body;0;0;0
3699;Abdeckung, Handbremshebel;Cover, hand brake lever;Innenausstattung;Abdeckung;Bremsanlage;Braking System;0;0;0
7204;Abdeckung, Handleuchte;Cover, hand lamp;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
6119;Abdeckung, Kabelverbindungsdose;Cover, cable connector box;Installationsmaterial;Abdeckung;Elektrische Universalteile;Electric Universal Parts;1;0;0
5717;Abdeckung, Keilriemen;Cover, V-belt;Riementrieb sonstiges;Abdeckung;Riementrieb;Belt Drive;0;0;0
4398;Abdeckung, Kippzylinder-Fahrerhaus;Cover, driver cab tilt cylinder;Fahrerhaus sonstiges;Abdeckung;Fahrerhaus;Driver Cab;0;0;0
7626;Abdeckung, Kugelkupplung/Deichsel;Covering, ball hitch / drawbar;Anhänger;Abdeckung;Anhänger;Trailer;1;0;0
5233;Abdeckung, Leistungsprüfstand;Cover, dynamometer;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
8007;Abdeckung, Lenkrad;Cover, steering wheel;Zubehör sonstiges;Abdeckung;Lenkung;Steering;0;0;0
5093;Abdeckung, Mittelkonsole;Cover, centre console;Mittelkonsole;Abdeckung;Innenausstattung;Interior Equipment;0;0;0
5333;Abdeckung, Montagegrube;Cover, workshop pit;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
4796;Abdeckung, Reifenventil;Tyre Valve Cap;Ventile Räder;Abdeckung;Räder, Universal;Wheels, universal;1;0;0
3615;Abdeckung, Schauloch (Bremsbelagverschleiß);Cover, inspection hole (brake pad wear);Bremsenteile sonstiges;Abdeckung;Bremsanlage;Braking System;0;0;0
1511;Abdeckung, Scheinwerfer;Cover, light;Karosserie Montageteile;Abdeckung;Karosserie;Body;0;0;0
10055;Abdeckung, Scheinwerferwaschdüse;Abdeckung, Scheinwerferwaschdüse;Wischerzubehör;Abdeckung, Scheinwerferwaschdüse;Scheinwerferreinigung;Headlight Cleaning;0;0;0
3386;Abdeckung, Spiegelsystem;Cover, mirror system;Karosserieteile sonstiges;Abdeckung;Karosserie;Body;0;0;0
6120;Abdeckung, Steckdose;Cover, power socket;Installationsmaterial;Abdeckung;Elektrische Universalteile;Electric Universal Parts;1;0;0
5378;Abdeckung, Stempel-Hebeanlage;Cover, cylinder lift system;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
5249;Abdeckung, Stempel-Hebebühne;Cover, cylinder vehicle lift;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
8551;Abdeckung, Streuwagen;Cover, gritter;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;0;0
3631;Abdeckung, Umlenk-/Führungsrolle (Keilrippenriemen);Cover, deflection/guide pulley (V-ribbed belt);Riementrieb sonstiges;Abdeckung;Riementrieb;Belt Drive;0;0;0
22;Abdeckung, Wasserkasten;Cover, water tank;Karosserieteile sonstiges;Abdeckung;Karosserie;Body;0;0;0
3256;Abdeckung, Weitwinkelspiegel;Cover, wide angle mirror;Fahrerhaus sonstiges;Abdeckung;Fahrerhaus;Driver Cab;0;0;0
60142;Abdeckung, Werkzeugwagen;Cover, tool trolley;Werkstattaus-/einrichtung sonstiges;Abdeckung;Werkstattausrüstung;Workshop Equipment;1;NULL;NULL
3308;Abdeckung, Zahnriemen;Cover, timing belt;Riementrieb sonstiges;Abdeckung;Riementrieb;Belt Drive;0;0;0
8195;Abdrehmaschine, Bremsbelag;Turning Machine, brake lining;Werkstattaus-/einrichtung sonstiges;Drehmaschine;Werkstattausrüstung;Workshop Equipment;1;0;0
8193;Abdrehmaschine, Bremsscheibe;Turning Machine, brake disc;Werkstattaus-/einrichtung sonstiges;Drehmaschine;Werkstattausrüstung;Workshop Equipment;1;0;0
11624;Abfälle aus Farb- o. Lackentfernung;Waste from colour or paint removal;ohne Relevanz (ersetzt oder ausser Funktion);Entsorgung;NULL;NULL;0;0;0
8552;Abfalleimer;Waste Bin;Werkstattaus-/einrichtung sonstiges;Abfalleimer;Werkstattausrüstung;Workshop Equipment;1;0;0
8579;Abfallgreifer;Waste Grabber;Werkstattaus-/einrichtung sonstiges;Abfallgreifer;Werkstattausrüstung;Workshop Equipment;1;0;0
5435;Abfüllbock;Filling Stand;Werkstattaus-/einrichtung sonstiges;Abfüllbock;Werkstattausrüstung;Workshop Equipment;1;0;0
5185;Abfüllhahn, Batteriesäure;Filling Tap, battery acid;Batterieladegeräte,-tester, -booster;Ventil;Werkstattgeräte;Workshop Devices;1;0;0
2348;Abfüllhahn, Bremsflüssigkeit;Filler Tap, brake fluid;Werkstattaus-/einrichtung sonstiges;Ventil;Werkstattgeräte;Workshop Devices;1;0;0
7348;Abfüllplatz;Filling station;Werkstattaus-/einrichtung sonstiges;Abfüllplatz;Werkstattausrüstung;Workshop Equipment;1;0;0
26;Abgasanlage;Exhaust System;Schalldämpfer;Abgasanlage;Abgasanlage;Exhaust System;0;0;0
2008;Abgasdiagnosegerät;Emission Diagnosis Equipment;Werkstattaus-/einrichtung sonstiges;Diagnosegerät;Werkstattgeräte;Workshop Devices;1;0;0
1418;Abgasklappe;Exhaust Gas Door;Abgasanlage sontiges;Abgasklappe;Abgasanlage;Exhaust System;0;0;0
538;Abgasklappe, Motorbremse;Exhaust Gas Flap, engine brake;Bremsenteile sonstiges;Abgasklappe;Bremsanlage;Braking System;0;0;0
16480;Abgaskrümmer;Exhaust manifold;Abgaskrümmer;Abgaskrümmer;NULL;NULL;1;0;0
2007;Abgasmessgerät;Exhaust Gas Analyzer;Prüf- und Testgeräte;Messgerät;Werkstattgeräte;Workshop Devices;1;0;0
9556;Abgasmessmodul;Exhaust Gas Measurement Module;Werkstattaus-/einrichtung sonstiges;Abgasmessmodul;Werkstattausrüstung;Workshop Equipment;1;0;0
17;Abgasrohr;Exhaust Pipe;Rohre;Rohr;Abgasanlage;Exhaust System;0;0;0
4329;Abgasrohr, Universal;Exhaust Pipe, universal;Rohre;Rohr;Abgasanlage, Universal;Exhaust System, universal;1;0;0
4633;Abgasrückführung;Exhaust Gas Recirculation;Gemischaufbereitung sonstiges;Grafik;Abgasrückführung;Exhaust Gas Recirculation (EGR);0;0;0
5254;Abgasschlauch, Abgasabsaugung;Exhaust Hose, exhaust extraction;Werkstattaus-/einrichtung sonstiges;Schlauch;Werkstattausrüstung;Workshop Equipment;1;0;0
9879;Abgassensoren-Set;Exhaust Gas Sensor Set;Sensoren sonstige;Abgassensoren-Set;Gemischaufbereitung;Mixture Formation;0;0;0
5255;Abgastrichter, Abgasabsaugung;Exhaust Funnel, exhaust extraction;Werkstattaus-/einrichtung sonstiges;Trichter;Werkstattausrüstung;Workshop Equipment;1;0;0
10027;Abglättmittel;Lubricant;Lackierung sonstiges;Abglättmittel;NULL;NULL;1;1;0
9172;Abgreifklemme, Prüfgerät;Alligator Clip, tester;Werkstattaus-/einrichtung sonstiges;Abgreifklemme;Werkstattausrüstung;Workshop Equipment;1;0;0
6176;Abisolierwerkzeug;Wire Stripping Tools;Handwerkzeuge;Abisolierwerkzeug;Werkzeug, Universal;Tool, universal;1;0;0
4169;Abisolierzange;Cable stripper;Handwerkzeuge;Zange;Werkzeug, Universal;Tool, universal;1;0;0
8197;Abkantbank;Bending Press;Werkstattaus-/einrichtung sonstiges;Abkantbank;Werkstattausrüstung;Workshop Equipment;1;0;0
6250;Ablage, Scanner (Karosserievermessungssystem);Tray, scanner (body measuring system);Werkstattaus-/einrichtung sonstiges;Ablage;Werkstattausrüstung;Workshop Equipment;1;0;0
6826;Ablage, Zylinderkopf-Komponenten;Tray, cylinder head components;Werkstattaus-/einrichtung sonstiges;Ablage;Werkstattausrüstung;Workshop Equipment;1;0;0
6730;Ablageboden, Werkzeuglochtafel;Tray Base, tool pegboard;Werkstattaus-/einrichtung sonstiges;Ablageboden;Werkstattausrüstung;Workshop Equipment;1;0;0
19109;Ablagefach;Storage pocket;Zubehör sonstiges;Ablagefach;NULL;NULL;1;0;0
6783;Ablagefach, Werkzeugwagen;Storage Tray, workshop trolley;Werkstattaus-/einrichtung sonstiges;Ablagefach;Werkstattausrüstung;Workshop Equipment;1;0;0
9138;Ablagefachsatz, Werkzeugwagen;Storage Compartment Set, tool trolley;Werkstattaus-/einrichtung sonstiges;Ablagefachsatz;Werkstattausrüstung;Workshop Equipment;1;0;0
5768;Ablageschale, Stempel-Hebebühne;Storage Tray, cylinder vehicle lift;Werkstattaus-/einrichtung sonstiges;Ablageschale;Werkstattausrüstung;Workshop Equipment;1;0;0
8110;Abmantelungswerkzeug;Strippers;Handwerkzeuge;Abmantelungswerkzeug;Werkzeug, Universal;Tool, universal;1;0;0
7643;Abreißseil, Auflaufeinrichtung;Break-away Cable, overrun brake;Anhänger;Abreißseil;Anhänger;Trailer;1;0;0
6923;Abrollgriff, Lenkradschoner;Hand Dispenser, steering wheel cover;Werkstattaus-/einrichtung sonstiges;Abrollgriff;Werkstattausrüstung;Workshop Equipment;1;0;0
4070;Abrollkolben, Luftfederbalg;Roller Piston, air spring bellow;Luftfederung;Kolben;Federung/Dämpfung;Suspension/Damping;0;0;0
26477;Abrollsicherung, Einzelteile/Ladebordwand;Abrollsicherung, Einzelteile/Ladebordwand;Karosserieteile sonstiges;Abrollsicherung;Ladebordwand;Ladebordwand;1;0;0
7778;Abrollsicherung, Ladebordwand;Roll-off Safety, tail lift;Karosserieteile sonstiges;Abrollsicherung;Karosserie;Body;1;0;0
5257;Absaugarm, Abgasabsaugung;Extraction Arm, exhaust extraction;Werkstattaus-/einrichtung sonstiges;Absaugarm;Werkstattausrüstung;Workshop Equipment;1;0;0
2340;Absaugbalg, Bremsflüssigkeit;Suction Balloon, brake fluid;Werkstattaus-/einrichtung sonstiges;Balg;Werkstattgeräte;Workshop Devices;1;0;0
9559;Absauggerät, Kältemittel;Suction Device, refrigerant;Werkstattaus-/einrichtung sonstiges;Absauggerät;Werkstattausrüstung;Workshop Equipment;1;0;0
8661;Absauggerät, Kraftstoffdämpfe;Suction Device, fuel vapours;Werkstattaus-/einrichtung sonstiges;Absauggerät;Werkstattausrüstung;Workshop Equipment;1;0;0
4330;Absaugpumpe, Füll-/Entlüftungsgerät (Bremshydraulik);Suction Pump, fill-/bleed unit (brake hydraulics);Werkstattaus-/einrichtung sonstiges;Pumpe;Werkstattgeräte;Workshop Devices;1;0;0
9617;Absaugsatz, Elektrowerkzeug;Suction Set, electrical tool;Handwerkzeuge;Absaugsatz;Werkzeug, Universal;Tool, universal;1;0;0
7112;Absaugschlauch, Exzenterschleifer;Suction Hose, random orbit sander;Werkstattaus-/einrichtung sonstiges;Schlauch;Werkstattausrüstung;Workshop Equipment;1;0;0
2025;Absaugvorrichtung, Einspritzdüsenprüfgerät;Suction Device, injection nozzle tester;Prüf- und Testgeräte;Absauggerät;Werkstattgeräte;Workshop Devices;1;0;0
32;Abschirmblech, Anhängevorrichtung;Heat Shield, towbar;Anhängevorrichtungen sonstiges;Blech;Anhängevorrichtung;Trailer Hitch;0;0;0
2286;Abschirmhaube, Zündverteiler;Shield, distributor;Zünd-/Glühanlage sonstiges;Haube;Zündanlage;Ignition System;0;0;0
5788;Abschlagdorn, Nockenwellenzahnrad;Removal Drift, camshaft sprocket;Werkzeuge sonstiges;Abschlagdorn;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
7716;Abschlagdorn, Nockenwellenzahnrad;Removal Drift, camshaft sprocket;Werkzeuge sonstiges;Abschlagdorn;Spezialwerkzeug, Universal;Special Tools, universal;1;0;0
23494;Abschlepphaken;Abschlepphaken;Zubehör sonstiges;Abschlepphaken;NULL;NULL;0;0;0
1548;Abschleppseil;Tow Cable;Zubehör sonstiges;Seil;Zubehör, Universal;Accessories, universal;1;0;0
6085;Abschleppstange;Tow Bar;Zubehör sonstiges;Stange;Zubehör, Universal;Accessories, universal;1;0;0
26009;Abschmiersystem;Grease system;Werkstattaus-/einrichtung sonstiges;Abschmiersystem;Werkstattausrüstung;Workshop Equipment;1;0;0
60074;Absenkvorrichtung, Gepäckkorb (AHK-Träger);Lowering Device, luggage basket (trailer coupler carrier);NULL;Absenkvorrichtung;Transportvorrichtung, Universal;Carrier Unit, Universal;1;NULL;NULL
6547;Absetzzange;Bevelling Pliers;Werkzeuge sonstiges;Absetzzange;Spezialwerkzeug, Universal;Special Tools, universal;1;0;0
6208;Absicherung, Montagegrube;Safety Cover, workshop pit;Werkstattaus-/einrichtung sonstiges;Sicherung;Werkstattausrüstung;Workshop Equipment;1;0;0
5723;ABS-Kontrollleuchte;ABS Control Light;Anzeigen Innenraum;Anzeige;Instrumente, Universal;Instruments, universal;1;0;0
4303;ABS-Kontrollleuchte;ABS Control Light;Anzeigen Innenraum;Anzeige;Instrumente;Instruments;0;0;0
6873;Absperraufroller;Barrier Tape Reel;Werkstattaus-/einrichtung sonstiges;Absperraufroller;Werkstattausrüstung;Workshop Equipment;1;0;0
6387;Absperrband;Barrier Tape;Werkstattaus-/einrichtung sonstiges;Absperrband;Werkstattausrüstung;Workshop Equipment;1;0;0
4128;Absperrgitter, Koffer-/Laderaum;Barrier Mesh, boot-/cargo area;Innenausstattung;Gitter;Zubehör, Universal;Accessories, universal;1;0;0
1549;Absperrgitter, Koffer-/Laderaum;Barrier Mesh, boot-/cargo area;Innenausstattung;Gitter;Zubehör;Accessories;0;0;0
377;Absperrhahn;Shut-Off Cock;Druckluftanlage sonstiges;Absperrhahn;Druckluftanlage;Compressed-air System;0;0;0
5365;Absperrhahn, Drucklufttechnik;Stopcock, compressed air system;Druckluftwerkzeuge;Absperrhahn;Werkstattausrüstung;Workshop Equipment;1;0;0
3671;Absperrhahn, Füll-/Entlüftungsgerät (Bremshydraulik);Shut-off Cock, filling / bleeding tool (brake hydraulics);Werkstattaus-/einrichtung sonstiges;Absperrhahn;Werkstattgeräte;Workshop Devices;1;0;0
8554;Absperrkette;Barrier Chain;Werkstattaus-/einrichtung sonstiges;Absperrkette;Werkstattausrüstung;Workshop Equipment;1;0;0
5719;Absperrklappe, Heizungsregulierung;Butterfly Valve, heating control;Einzel- und Kleinteile Heizung & Klima;Klappe;Heizung/Lüftung;Heating/Ventilation;0;0;0
8596;Absperrpfosten;Bollard;Werkstattaus-/einrichtung sonstiges;Absperrpfosten;Werkstattausrüstung;Workshop Equipment;1;0;0
8036;Absperrpfosten-Set;Bollard Set;Werkstattaus-/einrichtung sonstiges;Absperrpfosten-Set;Werkstattausrüstung;Workshop Equipment;1;0;0
1333;Absperrventil, Wegfahrsperre;Stop Valve, immobilizer;Wegfahrsperre;Ventil;Sicherheitssysteme;Safety Systems;0;0;0
1995;ABS-Prüfgerät;ABS Tester;Prüf- und Testgeräte;Prüfgerät;Werkstattgeräte;Workshop Devices;1;0;0
9216;Abstandshalter;Spacer;Zubehör sonstiges;Abstandshalter;Zubehör, Universal;Accessories, universal;1;0;0
9911;Abstech-/Anfasgrundgerät;Cutting/Chamfering Base Device;Werkzeuge sonstiges;Abstech-/Anfasgrundgerät;Werkzeug, Universal;Tool, universal;1;NULL;NULL
9913;Abstechpistole;Cutting Gun;Werkzeuge sonstiges;Abstechpistole;Werkzeug, Universal;Tool, universal;1;NULL;NULL
7524;Abstellstütze, Anhänger;Parking Support, trailer;Anhänger;Abstellstütze;Anhänger;Trailer;1;0;0
3890;Abstellvorrichtung, Einspritzanlage;Fuel Cut-off, injection system;Einspritzanlage;Abstellvorrichtung;Gemischaufbereitung;Mixture Formation;0;0;0
3755;Abstreifer;Scraper;Zubehör sonstiges;Abstreifer;NULL;NULL;0;0;0
7526;Abstützfuß, Abstellstütze;Trailer Jack, parking supports;Anhänger;Abstützfuß;Anhänger;Trailer;1;0;0
7527;Abstützfußsatz, Abstellstütze;Trailer Jack Set, parking supports;Anhänger;Abstützfußsatz;Anhänger;Trailer;1;0;0
9269;Abstützplatte, Ein-/Auspresswerkzeug-Satz;Support Plate, press-fit/extraction tool set;Werkzeuge sonstiges;Abstützplatte;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
3073;Abstützscheibe, Ventilstößel;Support Plate, tappet;Ventiltrieb;Abstützscheibe;Motorsteuerung;Engine Timing;0;0;0
7235;Abstützvorrichtung, Drehmomentvervielfältiger;Support Device, torque multiplier;Handwerkzeuge;Abstützvorrichtung;Werkzeug, Universal;Tool, universal;1;0;0
5789;Abstützvorrichtung, Getriebeheber;Support Device, transmission jack;Werkstattaus-/einrichtung sonstiges;Abstützvorrichtung;Werkstattausrüstung;Workshop Equipment;1;0;0
6262;Abstützvorrichtung, Grubenheber;Support Device, pit lift;Werkstattaus-/einrichtung sonstiges;Abstützvorrichtung;Werkstattausrüstung;Workshop Equipment;1;0;0
672;ABS-Verbindungskabel;Connecting Cable, ABS;Bremsenteile sonstiges;Elektroleitung;Bremsanlage;Braking System;0;0;0
5163;ABS-Verbindungskabel;Connecting Cable, ABS;Kabel/Kabelsätze;Elektroleitung;Bremsanlage, Universal;Braking System, universal;1;0;0
60160;Abtriebsflansch, Automatikgetriebe;Output flange, automatic transmission;NULL;Flansch;Automatikgetriebe;Automatic Transmission;0;NULL;NULL
60161;Abtriebsflansch, Schaltgetriebe;Output flange, manual transmission;NULL;Flansch;Schaltgetriebe;Manual Transmission;0;NULL;NULL
10742;Abzieher (Scheibenwischerarm);Wiper arm puller;Handwerkzeuge;Abzieher;Karosserie / Innenausstattung;Karosserie / Innenausstattung;1;0;0
7385;Abzieher, Anlasserfreilauf;Puller, starter clutch;Werkzeuge sonstiges;Abzieher;Spezialwerkzeuge, Zweirad-Universal;Special Tools, motorcycle, universal;1;0;0
4561;Abzieher, Antriebswellengelenk;Puller, drive shaft joint;Handwerkzeuge;Abzieher;Werkzeug, Universal;Tool, universal;1;0;0
9413;Abzieher, Ausgleichswelle;Puller, balancer shaft;Werkzeuge sonstiges;Abzieher;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
9463;Abzieher, Ausrückwelle;Puller, release shaft;Werkzeuge sonstiges;Abzieher;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
8821;Abzieher, Ausrückwelle;Puller, release shaft;Handwerkzeuge;Abzieher;Werkzeug, Universal;Tool, universal;1;0;0
7795;Abzieher, Batteriepolklemme;Puller, battery terminal clamp;Zubehör Batterien;Abzieher;Werkzeug, Universal;Tool, universal;1;0;0
6683;Abzieher, Bremsgestängesteller;Puller, brake slack adjuster;Werkzeuge sonstiges;Abzieher;Spezialwerkzeug, Universal;Special Tools, universal;1;0;0
4514;Abzieher, Einspritzpumpenzahnrad;Puller, injector pump gear;Werkzeuge sonstiges;Abzieher;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
5860;Abzieher, Einspritzpumpenzahnrad;Puller, injector pump gear;Werkzeuge sonstiges;Abzieher;Spezialwerkzeug, Universal;Special Tools, universal;1;0;0
4530;Abzieher, Glühkerze;Puller, glow plug;Werkzeuge sonstiges;Abzieher;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
4551;Abzieher, Kugelgelenk;Puller, ball joint;Handwerkzeuge;Abzieher;Werkzeug, Universal;Tool, universal;1;0;0
4550;Abzieher, Kugelgelenk;Puller, ball joint;Werkzeuge sonstiges;Abzieher;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
6926;Abzieher, Kugellager;Puller, ball bearing;Handwerkzeuge;Abzieher;Werkzeug, Universal;Tool, universal;1;0;0
7201;Abzieher, Kühlerlüfter;Puller, cooler fan;Werkzeuge sonstiges;Abzieher;Spezialwerkzeug, Universal;Special Tools, universal;1;0;0
2636;Abzieher, Kupplung;Puller, clutch;Handwerkzeuge;Abzieher;Werkzeug, Universal;Tool, universal;1;0;0
5811;Abzieher, Lenkrad;Puller, steering wheel;Handwerkzeuge;Abzieher;Werkzeug, Universal;Tool, universal;1;0;0
4549;Abzieher, Lenkrad-Distanzhülse;Puller, steering wheel spacer sleeve;Werkzeuge sonstiges;Abzieher;Werkzeug, fahrzeugspezifisch;Vehicle Specific Tools;0;0;0
