Genart-Nr	Genart-Desc-DE	Genart-Desc-EN	BauGruppe-DE	BauGruppe-EN	ART-Bezeichng-DE	ART-Bezeichng-EN	Verwendungszweck-DE	Verwendungszweck-EN	K24-Bezeichng	IsUniversalGenericArticle	IsDangerousGoods	IsHazardousSubstance	DataSupplier:Link
2364	20°-Kolbenlehre	20° Piston Position Template	Werkzeug, Universal	Tool, universal	Lehre	Feeler Gauge	20 Grad Kolbeneinstellung	20° Piston Adjustment	Werkzeuge sonstiges	1	0	0	Tec Doc
2373	4-Kant-Schlüssel, Bremsbacken-Exzenter	Square Key, brake shoe eccentric	Werkzeug, Universal	Tool, universal	4-Kant-Schlüssel	Square Key	Bremsbacken-Exzenter	Brake Shoe Eccentric	Werkzeuge sonstiges	1	0	0	Tec Doc
4903	4-Kant-Schlüssel, Kombi-Instrument	Square Key, instrument cluster	Werkzeug, Universal	Tool, universal	4-Kant-Schlüssel	Square Key	Kombi-Instrument	Instrument Cluster	Handwerkzeuge	1	0	0	Tec Doc
3682	Abbiegescheinwerfer	Cornering Light	Beleuchtung, Universal	Lighting System, universal	Scheinwerfer	Headlight	Abbiegescheinwerfer	Cornering Light	Scheinwerfer	1	0	0	Tec Doc
3780	Abbiegescheinwerfersatz	Cornering Light Set	Beleuchtung	Lights	Scheinwerfersatz	Headlight set	Abbiegescheinwerfer	Cornering Light	Scheinwerfer	0	0	0	Tec Doc
3781	Abbiegescheinwerfersatz	Cornering Light Set	Beleuchtung, Universal	Lighting System, universal	Scheinwerfersatz	Headlight set	Abbiegescheinwerfer	Cornering Light	Scheinwerfer	1	0	0	Tec Doc
10502	Abbrechklingenmesser	Cutter knife	Scheren & Messer	Scheren & Messer	Scheren & Messer	Scheren & Messer	NULL	NULL	Handwerkzeuge	1	0	0	DVSE
6749	Abbrechklingensatz, Cutter	Snap-off Blade Set, cutter	Werkzeug, Universal	Tool, universal	Abbrechklingensatz	Snap-off Blade Set	Cutter	Cutter	Handwerkzeuge	1	0	0	Tec Doc
25955	Abdeckband	masking tape	NULL	NULL	Klebeband universal	Klebeband universal	NULL	NULL	Kleben & Dichten	1	0	0	DVSE
2247	Abdeckblech, Bremssattel	Cover, brake caliper	Bremsanlage	Braking System	Blech	Shield	Bremssattel	Brake Caliper	Bremssattel Einzelteile	0	0	0	Tec Doc
1661	Abdeckblech, Bremstrommel	Cover Sheet, brake drum	Bremsanlage	Braking System	Blech	Shield	Bremstrommel	Brake Drum	Bremsenteile sonstiges	0	0	0	Tec Doc
2990	Abdeckblech, Staubschutz-Radlager	Cover Plate, dust-cover wheel bearing	Radaufhängung	Wheel Suspension	Blech	Shield	Staubschutz-Radlager	Dust Cover, wheel bearing	Fahrwerk sonstiges	0	0	0	Tec Doc
5904	Abdeckhaube Füll-/Entlüftungsgerät (Bremshydraulik)	Cover, fill/bleeding unit (brake hydraulics)	Werkstattausrüstung	Workshop Equipment	Abdeckung	Cover	Füll-/Entlüftungsgerät (Bremshydraulik)	Filler/Bleeder Unit, (brake hydraulics)	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
4257	Abdeckkappe, Federträgerachse	Protecting Cap, spring support axle	Federung/Dämpfung	Suspension/Damping	Kappe	Cap	Federträgerachse	Spring Support Axle	Federung sonstiges	0	0	0	Tec Doc
2812	Abdeckkappe, Regensensor	Cover, rain sensor	Komfortsysteme, Universal	Comfort Systems, universal	Kappe	Cap	Regensensor	Rain Sensor	elektrische Bauteile sonstiges	1	0	0	Tec Doc
2279	Abdeckkappe, Regensensor	Cover, rain sensor	Komfortsysteme	Comfort Systems	Kappe	Cap	Regensensor	Rain Sensor	elektrische Bauteile sonstiges	0	0	0	Tec Doc
4664	Abdeckkappe, Serviceventil	Cover Cap, service valve	Klimaanlage, Universal	Air Conditioning, universal	Kappe	Cap	Serviceventil	Service Valve	Einzel- und Kleinteile Heizung & Klima	1	0	0	Tec Doc
6116	Abdeckkappe, Steckgehäuse	Cover Cap, plug housing	Elektrische Universalteile	Electric Universal Parts	Kappe	Cap	Steckgehäuse	Plug Housing	Installationsmaterial	1	0	0	Tec Doc
3559	Abdeckkappe, Türgriff	Cover, door handle	Schließanlage	Lock System	Kappe	Cap	Türgriff	Door Handle	Türgriff	0	0	0	Tec Doc
11842	Abdeckkappen für Anhängevorrichtung PKW	Trailer tow-bar cap	NULL	NULL	Abdeckkappen für Anhängevorrichtung PKW	NULL	NULL	NULL	Zubehör sonstiges	1	0	0	DVSE
26001	Abdeckpapier	Abdeckpapier	Karosserie / Lack	Karosserie / Lack	Papier	Papier	NULL	NULL	Abdecken und Reinigen	1	0	0	DVSE
60148	Abdeckrahmen, Ladestation (Elektrofahrzeug)	Cover frame, charging station (electric vehicle)	Hybrid-/Elektroantrieb	Hybrid/Electrical Drive	Rahmen	Frame	Ladestation (Elektrofahrzeug)	Charging station (electric vehicle)	elektrische Bauteile sonstiges	0	NULL	NULL	DVSE
2751	Abdeckring, Bremsbackenbolzenbohrung	Cover Ring, brake-shoe pin bore	Bremsanlage	Braking System	Abdeckring	Covering Ring	Bremsbackenbolzenbohrung	Brake-shoe Pin Bore	Bremsenteile sonstiges	0	0	0	Tec Doc
2112	Abdeckring, Gelenkwellenmittellager	Cover Ring, propshaft centre bearing	Achsantrieb	Axle Drive	Abdeckring	Covering Ring	Gelenkwellenmittellager	Propshaft Centre Bearing	Kardanwelle / -teile	0	0	0	Tec Doc
7110	Abdeckscheibe, Exzenterschleifer	Cover Disc, random orbit sander	Werkzeug, Universal	Tool, universal	Abdeckscheibe	Cover Disc	Exzenterschleifer	Eccentric Grinder	Handwerkzeuge	1	0	0	Tec Doc
9250	Abdeckscheibe, Tiefenschleifer	Cover Disc, extended grinder	Werkzeug, Universal	Tool, universal	Abdeckscheibe	Cover Disc	Tiefenschleifer	Extended Grinder	Mittelkonsole	1	0	0	Tec Doc
6284	Abdecktuch	Cover Cloth	Werkstattausrüstung	Workshop Equipment	Abdecktuch	Cover Cloth	NULL	NULL	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
1447	Abdeckung	Cover	NULL	NULL	Abdeckung	Cover	NULL	NULL	Karosserie Montageteile	0	0	0	Tec Doc
4806	Abdeckung, Abschlepphaken	Cover, tow hook	Karosserie, Universal	Body Parts, universal	Abdeckung	Cover	Abschlepphaken	Tow Hook	Karosserieteile sonstiges	1	0	0	Tec Doc
4687	Abdeckung, Ausrücklagerwelle-Kupplung	Cover, clutch release bearing shaft	Kupplung	Clutch	Abdeckung	Cover	Ausrücklagerwelle	Releaser Shaft	Kupplung sonstiges	0	0	0	Tec Doc
3257	Abdeckung, Außenspiegel	Cover, outside mirror	Fahrerhaus	Driver Cab	Abdeckung	Cover	Außenspiegel	Outside Mirror	Fahrerhaus sonstiges	0	0	0	Tec Doc
23	Abdeckung, Außenspiegel	Cover, outside mirror	Karosserie	Body	Abdeckung	Cover	Außenspiegel	Outside Mirror	Fahrzeugspiegel aussen	0	0	0	Tec Doc
3830	Abdeckung, Außenspiegelhalter	Cover, external mirror holder	Karosserie	Body	Abdeckung	Cover	Außenspiegelhalter	Outside Mirror Holder	Karosserieteile sonstiges	0	0	0	Tec Doc
4380	Abdeckung, Batteriepolklemme	Cover, battery post clamp	Elektrische Universalteile	Electric Universal Parts	Abdeckung	Cover	Batteriepolklemme	Battery Post Clamp	Zubehör Batterien	1	0	0	Tec Doc
5007	Abdeckung, Bremsnockenwelle	Cover, brake camshaft	Bremsanlage	Braking System	Abdeckung	Cover	Bremsnockenwelle	Brake Camshaft	Bremsenteile sonstiges	0	0	0	Tec Doc
15820	Abdeckung, Dachträgeraufnahme	Cover, roof carrier mount	Karosserie	Body	Abdeckung	Cover	Dachträger	Roof Rack	Transportsysteme sonstiges	0	0	0	DVSE
3703	Abdeckung, Drehstab	Cover, torsion bar	Radaufhängung	Wheel Suspension	Abdeckung	Cover	Drehstab	Torsion Bar	Fahrwerk sonstiges	0	0	0	Tec Doc
3889	Abdeckung, Einspritzdüse	Cover, injector nozzle	Gemischaufbereitung	Mixture Formation	Abdeckung	Cover	Einspritzdüse	Injector Nozzle	Einspritzanlage	0	0	0	Tec Doc
4403	Abdeckung, Frischluftkanal (Innenraumluft)	Cover, fresh air conduit (passenger compartment air)	Karosserie	Body	Abdeckung	Cover	Frischluftkanal (Innenraumluft)	Fresh Air Conduit (passenger compartment air)	Luftführung	0	0	0	Tec Doc
1558	Abdeckung, Frontschürze	Cover, front apron	Karosserie	Body	Abdeckung	Cover	Frontschürze	Front Apron	Karosserie Montageteile	0	0	0	Tec Doc
1346	Abdeckung, Griffmulde	Cover, handle recess	Karosserie	Body	Abdeckung	Cover	Griffmulde	Handle Recess	Karosserie Montageteile	0	0	0	Tec Doc
3699	Abdeckung, Handbremshebel	Cover, hand brake lever	Bremsanlage	Braking System	Abdeckung	Cover	Handbremshebel	Hand Brake Lever	Innenausstattung	0	0	0	Tec Doc
7204	Abdeckung, Handleuchte	Cover, hand lamp	Werkstattausrüstung	Workshop Equipment	Abdeckung	Cover	Handleuchte	Hand Lamp	Werkstattaus-/einrichtung sonstiges	1	0	0	Tec Doc
