Artikelnummer;ArticleID;K24Number;ArticleDesignation;CustomsTariffNumber
1010-100826;1223114;1010-100826;[TYC] Blinkleuchte;85122000
1010-100826;1223114;1010-100826;[TYC] Blinkleuchte;85122000
1010-100828;1223196;1010-100828;[VAN] Blinkleuchte;85122000
1010-101086;1279175;1010-101086;[VAN] Blinkleuchte;85122000
1010-101186;1302306;1010-101186;[VAN] Blinkleuchte;85122000
1010-101200;1304290;1010-101200;[VAN] Blinkleuchte;85122000
1010-101808;1091131;1010-101808;[JO] Blinkleuchte;85122000
1010-102368;1192277;1010-102368;[AKA] Blinkleuchte;85122000
1010-103022;1268046;1010-103022;[ABK] Blinkleuchte;85122000
1010-103069;1273435;1010-103069;[ABK] Blinkleuchte;85122000
1010-107191;1841376;1010-107191;[ABK] Blinkleuchte;85122000
1010-107328;1857429;1010-107328;[ABK] Blinkleuchte;85122000
1010-108258;2011793;1010-108258;[TYC] Blinkleuchte;85122000
1010-109219;3242304;1010-109219;[TYC] Blinkleuchte;85122000
1010-109220;3242305;1010-109220;[TYC] Blinkleuchte;85122000
1010-24330;438160;1010-24330;[VAL] Tagfahrleuchte;85122000
1010-4296;37323;1010-4296;[PH] Blinkleuchte;85122000
1020-100246;1228487;1020-100246;[PRA] Hauptscheinwerfer;85122000
1020-100497;1266797;1020-100497;[PRA] Hauptscheinwerfer;85122000
1020-100896;1183225;1020-100896;[TYC] Hauptscheinwerfer;85122000
1020-100980;1184640;1020-100980;[TYC] Hauptscheinwerfer;85122000
1020-101019;1185323;1020-101019;[TYC] Hauptscheinwerfer;85122000
1020-101042;1185689;1020-101042;[TYC] Hauptscheinwerfer;85122000
1020-101281;1190485;1020-101281;[TYC] Hauptscheinwerfer;85122000
1020-101915;1243645;1020-101915;[VAN] Hauptscheinwerfer;85122000
1020-102255;1284136;1020-102255;[VAN] Hauptscheinwerfer;85122000
1020-103179;1085842;1020-103179;[JO] Hauptscheinwerfer;85122000
1020-104212;1210987;1020-104212;[VAN] Hauptscheinwerfer;85122000
1020-104314;1248805;1020-104314;[VAN] Hauptscheinwerfer;85122000
1020-111117;2094289;1020-111117;[VAN] Hauptscheinwerfer;85122000
1020-117061;2620845;1020-117061;[PH] Nebelscheinwerfer;85122000
1020-123144;2024299;1020-123144;[TYC] Hauptscheinwerfer;85122000
1020-123144;2024299;1020-123144;[TYC] Hauptscheinwerfer;85122000
1020-123796;1811102;1020-123796;[HLL] Nebelscheinwerfer;85122000
1020-123796;1811102;1020-123796;[HLL] Nebelscheinwerfer;85122000
1020-125832;2966168;1020-125832;OSRAM LEDriving® Golf VII LED Scheinwerfer;85122000
1020-127935;3542456;1020-127935;[TYC] Hauptscheinwerfer;85122000
1020-128848;3608932;1020-128848;[ABK] Hauptscheinwerfer;85122000
1020-13054;915399;1020-13054;[VAN] Hauptscheinwerfer;85122000
1020-13055;915400;1020-13055;[VAN] Hauptscheinwerfer;85122000
1020-13634;38098;1020-13634;[PH] Hauptscheinwerfer;85122000
1020-13689;36680;1020-13689;[PH] Hauptscheinwerfer;85122000
1020-14330;116915;1020-14330;[PH] Hauptscheinwerfer;85122000
1020-15000;27603;1020-15000;[PH] Hauptscheinwerfer;85122000
1020-15202;29258;1020-15202;[PH] Hauptscheinwerfer;85122000
1020-15333;388255;1020-15333;[VAL] Hauptscheinwerfer;85122000
1020-15472;197289;1020-15472;[HLL] Hauptscheinwerfer;85122000
1020-15473;197290;1020-15473;[HLL] Hauptscheinwerfer;85122000
1020-15525;436255;1020-15525;[VAL] Hauptscheinwerfer;85122000
1020-15526;436256;1020-15526;[VAL] Hauptscheinwerfer;85122000
1020-15554;372876;1020-15554;[FEB] Stellelement, Leuchtweiteregulierung;85011099
1020-3799;250714;1020-3799;[HLL] Scheinwerfereinsatz, Hauptscheinwerfer;85122000
1020-3799;250714;1020-3799;[HLL] Scheinwerfereinsatz, Hauptscheinwerfer;85122000
1020-3830;250858;1020-3830;[HLL] Scheinwerfereinsatz, Hauptscheinwerfer;85122000
1020-4667;254132;1020-4667;[HLL] Scheinwerfereinsatz, Fernscheinwerfer;85122000
1020-5252;274858;1020-5252;[HLL] Streuscheibe, Hauptscheinwerfer;70140000
1020-5428;276233;1020-5428;[HLL] Hauptscheinwerfer;85122000
1020-5429;276234;1020-5429;[HLL] Hauptscheinwerfer;85122000
1020-5640;45488;1020-5640;[PH] Hauptscheinwerfer;85122000
1020-8319;214987;1020-8319;[HLL] Hauptscheinwerfer;85122000
1020-9477;380320;1020-9477;[VAL] Hauptscheinwerfer;85122000
1030-100806;1207168;1030-100806;[VAN] Heckleuchte;85122000
1030-100831;1211324;1030-100831;[VAN] Heckleuchte;85122000
1030-100922;1223327;1030-100922;[VAN] Heckleuchte;85122000
1030-101184;1255140;1030-101184;[VAN] Heckleuchte;85122000
1030-101311;1271150;1030-101311;[VAN] Heckleuchte;85122000
1030-101553;1306344;1030-101553;[VAN] Heckleuchte;85122000
1030-101690;1083497;1030-101690;[JO] Heckleuchte;85122000
1030-10180;28822;1030-10180;[PH] Heckleuchte;85122000
1030-103059;1164787;1030-103059;[JO] Heckleuchte;85122000
1030-10363;196761;1030-10363;[HLL] Heckleuchte;85122000
1030-103781;1277766;1030-103781;[AKA] Heckleuchte;85122000
1030-10402;436076;1030-10402;[VAL] Heckleuchte;85122000
1030-104861;1723158;1030-104861;[AKA] Heckleuchte;85122000
1030-105374;1401837;1030-105374;[VAN] Heckleuchte;85122000
1030-105375;1401838;1030-105375;[VAN] Heckleuchte;85122000
1030-105385;1403571;1030-105385;[VAN] Heckleuchte;85122000
1030-106508;1445563;1030-106508;[AKA] Heckleuchte;85122000
1030-106970;1520950;1030-106970;[VAN] Heckleuchte;85122000
1030-107526;1549697;1030-107526;[MAR] Heckleuchte;85122000
1030-108393;1915408;1030-108393;[VAN] Heckleuchte;85122000
1030-109010;2283842;1030-109010;[VAN] Heckleuchte;85122000
1030-117017;2403696;1030-117017;[VAN] Heckleuchte;85122000
1030-118262;3114457;1030-118262;[VAN] Zusatzbremsleuchte;85122000
1030-118305;3206745;1030-118305;[PH] Heckleuchte;85122000
1030-119437;3814175;1030-119437;[ABK] Zusatzbremsleuchte;85122000
1030-5927;43690;1030-5927;[PH] Heckleuchte;85122000
1030-5931;43694;1030-5931;[PH] Heckleuchte;85122000
1030-5969;46287;1030-5969;[PH] Heckleuchte;85122000
1030-6252;379828;1030-6252;[VAL] Heckleuchte;85122000
1030-7851;386940;1030-7851;[VAL] Heckleuchte;85122000
1030-7851;386940;1030-7851;[VAL] Heckleuchte;85122000
1030-7851;386940;1030-7851;[VAL] Heckleuchte;85122000
1030-7854;386943;1030-7854;[VAL] Heckleuchte;85122000
1030-7865;387031;1030-7865;[VAL] Heckleuchte;85122000
1030-8292;395950;1030-8292;[VAL] Heckleuchte;85122000
1030-8359;398516;1030-8359;[VAL] Heckleuchte;85122000
1030-8774;399273;1030-8774;[VAL] Heckleuchte;85122000
1030-8774;399273;1030-8774;[VAL] Heckleuchte;85122000
1030-9360;39184;1030-9360;[PH] Heckleuchte;85122000
1030-9377;39213;1030-9377;[PH] Heckleuchte;85122000
1030-9413;390710;1030-9413;[VAL] Heckleuchte;85122000
1035-100317;1182370;1035-100317;[TYC] Nebelscheinwerfer;85122000
1035-100510;1191045;1035-100510;[TYC] Nebelscheinwerfer;85122000
1035-100532;1192234;1035-100532;[TYC] Nebelscheinwerfer;85122000
1035-100894;1269898;1035-100894;[VAN] Nebelscheinwerfer;85122000
1035-101703;1090238;1035-101703;[JO] Nebelscheinwerfer;85122000
1035-101704;1090270;1035-101704;[JO] Nebelscheinwerfer;85122000
1035-101713;1090643;1035-101713;[JO] Nebelscheinwerfer;85122000
1035-101762;1091250;1035-101762;[JO] Nebelscheinwerfer;85122000
1035-102124;1241113;1035-102124;[AKA] Nebelscheinwerfer;85122000
1035-2606;46423;1035-2606;[PH] Nebelscheinwerfer;85122000
1035-2606;46423;1035-2606;[PH] Nebelscheinwerfer;85122000
1035-3411;68242;1035-3411;[PH] Nebelscheinwerfer;85122000
1035-3812;35116;1035-3812;[PH] Nebelscheinwerfer;85122000
1035-3813;35117;1035-3813;[PH] Nebelscheinwerfer;85122000
1040-100212;1498059;1040-100212;[VAN] Kennzeichenleuchte;85122000
1040-101111;1425597;1040-101111;[TYC] Zusatzbremsleuchte;85122000
1040-101135;1425587;1040-101135;[TYC] Kennzeichenleuchte;85122000
1040-101322;1521662;1040-101322;[AIC] Lichtscheibe, Kennzeichenleuchte;85129090
1040-101423;1555495;1040-101423;[VAN] Kennzeichenleuchte;85122000
1040-101424;1555496;1040-101424;[VAN] Zusatzbremsleuchte;85122000
1040-101605;1945073;1040-101605;[HLL] Rückstrahler;39269097
1080-0040;35665;1080-0040;Glühlampe H4 (9045) 60/55W [12V];85392130
1080-0040;35665;1080-0040;Glühlampe H4 (9045) 60/55W [12V];85392130
1080-0155;35674;1080-0155;Glühlampe D2S  (9045);85392130
1080-0159;1001618;1080-0159;Glühlampe H4 [XE.RAY] 60/55W [12V] (831);85392930
1080-0364;35596;1080-0364;Glühlampe H11 (9045) 55W [12V];85392130
1080-0762;3151;1080-0762;Glühlampen-Ersatzbox H7-Doppel [55W] (9802);85129090
1080-100620;1376329;1080-100620;[VAL] Glühlampe, Blinkleuchte;85392130
1080-100620;1376329;1080-100620;[VAL] Glühlampe, Blinkleuchte;85392130
1080-100715;1460256;1080-100715;Glühlampe, Blinkleuchte;85391000
1080-100715;1460256;1080-100715;Glühlampe, Blinkleuchte;85391000
1080-100862;1537296;1080-100862;Glühlampe, Kennzeichenleuchte;85391000
1080-100939;1554596;1080-100939;Glühlampe, Blinkleuchte;85392130
1080-100948;1554698;1080-100948;Glühlampe, Blinkleuchte;85392130
1080-100948;1554698;1080-100948;Glühlampe, Blinkleuchte;85392130
1080-101088;1914545;1080-101088;[VAL] Glühlampe, Kennzeichenleuchte;85392130
1080-101168;2445457;1080-101168;Glühlampe [OSRAM] Original W16W [12V];85392130
1080-101598;2588012;1080-101598;[VMO] Glühlampe, Fernscheinwerfer;85392130
1080-101598;2588012;1080-101598;[VMO] Glühlampe, Fernscheinwerfer;85392130
1080-101716;2666025;1080-101716;[OSRAM] NIGHT BREAKER LASER next Generation  H7 [12V];85392130
1080-101720;2666029;1080-101720;[OSRAM] NIGHT BREAKER LASER next Generation  H11 [12V];85392130
1080-101721;2666030;1080-101721;[OSRAM] NIGHT BREAKER LASER next Generation  H8 [12V];85392130
1080-101726;2666035;1080-101726;[OSRAM] XENARC NIGHT BREAKER LASER next Generation  D2S [12V];85392130
1080-101777;2427176;1080-101777;Glühlampe, Fernscheinwerfer;85392130
1080-101982;4429873;1080-101982;[HLL] Glühlampe, Blinkleuchte;85392930
1080-101986;4429877;1080-101986;[HLL] Glühlampe, Blinkleuchte;85392930
1080-102343;4359333;1080-102343;[PHILIPS] H7 RacingVision GT200;85391000
1080-1660;1001851;1080-1660;Glühlampe [OSRAM] H7 COOL BLUE® INTENSE 55W [12V] (67);85392130
1080-1660;1001851;1080-1660;Glühlampe [OSRAM] H7 COOL BLUE® INTENSE 55W [12V] (67);85392130
1080-1660;1001851;1080-1660;Glühlampe [OSRAM] H7 COOL BLUE® INTENSE 55W [12V] (67);85392130
1080-1701;35420;1080-1701;Armaturenlampe schwarz] 1,2W [12V];85391000
1080-1703;35421;1080-1703;Armaturenlampe schwarz 1,2W [12V];85391000
1080-1942;35544;1080-1942;Glühlampe 21W [12V];85392130
1080-1979;35232;1080-1979;Glühlampe [AMBER] 21W [12V];85392130
1080-2034;35386;1080-2034;Glühlampe H7 (9045) 55W [12V] Longlife;85392130
