Manufacturer:Link;ArticleNo;ArtNo;TecDoc.ArtNo;TecDoc.Link;ArticleID;ManufacturerArticleNo;Manufacturer:Link;K24Number;ManufacturerNo;Name;TecDoc.Link;ArticleBrand:Link
503;ATE-03.0137-0531.2;03.0137-0531.2;03.0137-0531.2;ATE-03.0137-0531.2;1682882;03.0137-0531.2;ATE;1410-111469;ATE;ATE;3;503
503;ATE-03.0137-0312.2;03.0137-0312.2;03.0137-0312.2;ATE-03.0137-0312.2;664899;10810014;BKL;1410-17799;ATE;ATE;3;503
503;ATE-03.0137-0352.2;03.0137-0352.2;03.0137-0352.2;ATE-03.0137-0352.2;656330;03.0137-0352.2;ATE;1410-5377;ATE;ATE;3;503
503;ATE-03.0137-0266.2;03.0137-0266.2;03.0137-0266.2;ATE-03.0137-0266.2;656944;03.0137-0266.2;ATE;1410-5309;ATE;ATE;3;503
503;ATE-03.0137-0124.2;03.0137-0124.2;03.0137-0124.2;ATE-03.0137-0124.2;656426;03.0137-0124.2;ATE;1410-5201;ATE;ATE;3;503
503;ATE-03.0137-0247.2;03.0137-0247.2;03.0137-0247.2;ATE-03.0137-0247.2;656895;03.0137-0247.2;ATE;1410-5292;ATE;ATE;3;503
503;ATE-03.0137-0207.2;03.0137-0207.2;03.0137-0207.2;ATE-03.0137-0207.2;656836;03.0137-0207.2;ATE;1410-5263;ATE;ATE;3;503
503;ATE-03.0137-0149.2;03.0137-0149.2;03.0137-0149.2;ATE-03.0137-0149.2;656482;03.0137-0149.2;ATE;1410-5215;ATE;ATE;3;503
503;ATE-03.0137-0247.2;03.0137-0247.2;03.0137-0247.2;ATE-03.0137-0247.2;665237;10810025;BKL;1410-18085;ATE;ATE;3;503
503;ATE-03.0137-0417.2;03.0137-0417.2;03.0137-0417.2;ATE-03.0137-0417.2;657459;03.0137-0417.2;ATE;1410-5430;ATE;ATE;3;503
503;ATE-03.0137-0313.2;03.0137-0313.2;03.0137-0313.2;ATE-03.0137-0313.2;657020;03.0137-0313.2;ATE;1410-5349;ATE;ATE;3;503
503;ATE-03.0101-3501.2;03.0101-3501.2;03.0101-3501.2;ATE-03.0101-3501.2;658585;03.0101-3501.2;ATE;1440-19684;ATE;ATE;3;503
503;ATE-03.0137-0165.2;03.0137-0165.2;03.0137-0165.2;ATE-03.0137-0165.2;656508;03.0137-0165.2;ATE;1410-5226;ATE;ATE;3;503
503;ATE-03.0137-0334.2;03.0137-0334.2;03.0137-0334.2;ATE-03.0137-0334.2;656315;03.0137-0334.2;ATE;1410-5362;ATE;ATE;3;503
