EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr;TD-ArtID;PDM-ArtID
Otto;4744;LADA;SAMARA FORMA Stufenheck (21099, 2115);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;31249;LADA;112 (2112);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;117707;LADA;111 (2111);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;123732;LADA;KALINA Schrägheck (1119);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;6631;LADA;TOSCANA (2107);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;7445;LADA;SAMARA (2108, 2109, 2113, 2114);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;11636;LADA;112 (2112);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3061;LADA;SAMARA (2108, 2109, 2113, 2114);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3065;LADA;SAMARA FORMA Stufenheck (21099, 2115);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;11637;LADA;112 (2112);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;11638;LADA;111 (2111);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;32058;LADA;KALINA Stufenheck (1118);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;6658;LADA;NOVA (2105);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;20166;LADA;SAMARA (2108, 2109, 2113, 2114);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;128945;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;24669;LADA;110 (2110);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3995;LADA;NOVA Kombi (2104);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;7442;LADA;SAMARA FORMA Stufenheck (21099, 2115);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;19892;LADA;KALINA Stufenheck (1118);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;113256;LADA;110 (2110);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;19891;LADA;KALINA Stufenheck (1118);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;128008;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;31252;LADA;KALINA Schrägheck (1119);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Wankel;11642;LADA;110 (2110);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;127970;LADA;NOVA (2105);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3048;LADA;NOVA (2105);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;11646;LADA;NADESCHDA (2120);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Diesel;5702;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;127297;LADA;TOSCANA (2107);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;21896;LADA;110 (2110);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;127972;LADA;KALINA Schrägheck (1119);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;11639;LADA;111 (2111);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3051;LADA;NOVA Kombi (2104);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;31251;LADA;KALINA Stufenheck (1118);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3056;LADA;SAMARA (2108, 2109, 2113, 2114);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;129037;LADA;GRANTA Liftback (2191_);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;16479;LADA;110 (2110);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;122156;LADA;SAMARA (2108, 2109, 2113, 2114);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;16482;LADA;111 (2111);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Diesel;17944;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3049;LADA;NOVA (2105);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3050;LADA;NOVA (2105);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;114384;LADA;GRANTA (2190_);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;105759;LADA;KALINA II Schrägheck (2192_);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;26656;LADA;PRIORA Stufenheck (2170_);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;32056;LADA;PRIORA Schrägheck (2172);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;14045;LADA;NOVA (2105);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;16485;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Diesel;17944;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;12920;FSO;POLONEZ I;Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;11650;LADA;NADESCHDA (2120);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;3995;LADA;NOVA Kombi (2104);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;9960;FSO;POLONEZ III;Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;3996;LADA;NOVA Kombi (2104);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;3052;LADA;NOVA Kombi (2104);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;7385;FIAT;124 Familiare (124_);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;7433;FIAT;132 (132_);Bremsanlage;Hauptbremszylinder;ABS-1005;ABS-1005;Hauptbremszylinder;1965966;2270-120878;ACCA27E4-31FD-4986-B940-5586910FE840;ACCA27E4-31FD-4986-B940-5586910FE840
Otto;2565;FIAT;126 (126_);Bremsanlage;Hauptbremszylinder;ABS-1005;ABS-1005;Hauptbremszylinder;1965966;2270-120878;ACCA27E4-31FD-4986-B940-5586910FE840;ACCA27E4-31FD-4986-B940-5586910FE840
Otto;128945;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;127970;LADA;NOVA (2105);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;127260;LADA;TOSCANA (2107);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;122291;LADA;NOVA Kombi (2104);Bremsanlage;Hauptbremszylinder;ABS-1010;ABS-1010;Hauptbremszylinder;1965983;2270-120884;0416765E-8F52-4F67-BCF1-26A247A532D3;0416765E-8F52-4F67-BCF1-26A247A532D3
Otto;31250;LADA;112 (2112);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;31242;LADA;111 (2111);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;127402;LADA;GRANTA Liftback (2191_);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;16485;LADA;NIVA Geländewagen geschlossen (2121, 2131);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3057;LADA;SAMARA (2108, 2109, 2113, 2114);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;3044;LADA;TOSCANA (2107);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;11632;LADA;110 (2110);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;4831;LADA;SAMARA (2108, 2109, 2113, 2114);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;19889;LADA;KALINA Schrägheck (1119);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;26658;LADA;KALINA Kombi (1117);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
Otto;7447;LADA;NOVA (2105);Bremsanlage;Radbremszylinder;ABS-2000;ABS-2000;Radbremszylinder;1966313;2270-120991;B906280C-1778-43A0-84FC-BFCF8D8B0837;B906280C-1778-43A0-84FC-BFCF8D8B0837
