EngineType;CarNr;CarMake;CarModel;K24-Kategorie;TD-Genart;TD-ArtNr;PDM-TD-ArtNr;TD-ArtBeschreibung;PDM-ArtID;K24-Nr;ImportVersionNo;Manufacturer:Link;Manufacturer:Link
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;FIAMM-B24J 45;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1001250
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;BAEREN1-B24J 45;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1001236
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;AKUMA-B24J 45;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000981
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;INTACT-54523GUG;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000966
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;AAA-B24J 45;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000979
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;INTACT-PP45MF-ASIA;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000966
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;URANIO-845.26DPP;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000980
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MAGNETIMARELLI-069045390007;NULL;Starterbatterie;NULL;NULL;20210401;NULL;603
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MIDAC-H45J;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1001352
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MIDAC-S1;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1001352
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;BERGA-5451550337902;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2135
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MOLLBATTERIEN-545 084 030;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1001517
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MIDAC-H55;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1001352
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;TUDOR-TA530;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2464
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;FULMEN-FB454;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2556
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;AFA-5451550336062;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2630
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VARTA-5451560333132;NULL;Starterbatterie;NULL;NULL;20210401;NULL;526
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;TUDOR-TB500;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2464
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;BANNERPOOL-013550030101;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002352
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;EXIDE-EA530;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1846
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;EXIDE-EL550;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1846
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;PANTHER-SB.5452300;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002559
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;PANTHER-SB.ASIA03;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002559
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;TUDOR-TL550;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2464
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;IPSA-TMA45A;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2517
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;EXIDE-EB500;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1846
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;DURACELL-013545230801;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002624
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;BANNERPOOL-012555150101;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002352
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;BANNERPOOL-013545230101;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002352
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;PANTHER-SB.5388133;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002559
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;PANTHER-SB.5452333;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002559
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;DURACELL-013550030801;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002624
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VARTA-8731760008882;NULL;Starterbatterie;NULL;NULL;20210401;NULL;526
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ERA-S54517;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2513
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;DURACELL-012555150801;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1002624
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ENERGIZER-EP45J;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3278
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ENERGIZER-EP45J-TP;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3278
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX3012;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2117
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX3053;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2117
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;SAFA-S45J-TP;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3725
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-55054;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4456
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;VMF-55054;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4456
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT040RDJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000503
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-EFB055RCN;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045C;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045CBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR055EFBB;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;OPENPARTS-BY055L1.30;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3172
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;RUTECGMBH1-RNU040RDJ;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1003805
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MAXGEAR-85-0019;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3219
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;DETA-DB454;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3262
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;MOTAQUIP-VSMF012;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3268
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;POWERROCK1-BAT045RCJBL;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000503
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;ROCKET-BAT045RCN;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000622
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;PLATINUM-AFB158E;NULL;Starterbatterie;NULL;NULL;20210401;NULL;4709
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;NPS-U540L09B;NULL;Starterbatterie;NULL;NULL;20210401;NULL;3271
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;CONTINENTAL-2800012019280;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2415
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;YUASA-YBX5053;NULL;Starterbatterie;NULL;NULL;20210401;NULL;2117
Elektromotor;650;NISSAN;LEAF (ZE0);Startanlage;Starterbatterie;GLOBAL-GR045B;NULL;Starterbatterie;NULL;NULL;20210401;NULL;1000623
