:Id;Manufacturer:Link;ArticleNo;ArtNo;TecDoc.ArtNo;TecDoc.Link;:Id;:Id;ArticleID;ManufacturerArticleNo;Manufacturer:Link;K24Number
8BC1A5EE-2066-482E-B5BD-024D5802DF57;506;LUK-510 0058 10;510 0058 10;510 0058 10;LUK-510 0058 10;C96D942B-4ACB-4FD6-A45C-00000EC71127;C96D942B-4ACB-4FD6-A45C-00000EC71127;346749;510 0058 10;LUK;1640-11895
6A614C5A-1EC7-4332-8161-D80553F786E6;2730;LIZARTE-04.05.0323-1;04.05.0323-1;04.05.0323-1;LIZARTE-04.05.0323-1;17BDB0E5-B6D3-4B7A-9343-0000140B99D0;17BDB0E5-B6D3-4B7A-9343-0000140B99D0;467794;04.05.0323-1;LIZ;1570-91113325
EB05D2D2-F4D7-401F-887F-8EAD4946E429;635;HERTHBUSSELPARTS-50250512;50250512;50250512;HERTHBUSSELPARTS-50250512;6FAF079C-4A94-4F79-B575-00001AB49359;6FAF079C-4A94-4F79-B575-00001AB49359;990307;50250512;HB;2271-10396
0D8FE222-F2AE-40C0-8DAD-B43BC9B17B16;3041;PRASCO-LA2015;LA2015;LA2015;PRASCO-LA2015;CD1B64AC-1B85-4E9A-B6A7-00001AC6563F;CD1B64AC-1B85-4E9A-B6A7-00001AC6563F;1247011;LA2015;PRA;1710-101917
96153A13-9FC8-4A0B-8F51-50BC1F830EC3;509;VICTORREINZ-02-45430-07;02-45430-07;02-45430-07;VICTORREINZ-02-45430-07;A6CF7281-A557-4F57-8AD2-00003EAF1B59;A6CF7281-A557-4F57-8AD2-00003EAF1B59;460692;02-45430-07;REI;1610-48790
489A37E8-ABFD-4E5B-931B-F1706B45B9E0;613;HERTHBUSSJAKOPARTS-J5901009;J5901009;J5901009;HERTHBUSSJAKOPARTS-J5901009;F02712FC-C69A-4C8A-A480-00005BAFBE7C;F02712FC-C69A-4C8A-A480-00005BAFBE7C;540149;J5901009;JAK;1440-35944
7B393AA6-3172-43B4-ACF1-40E2A5FA5BD9;875;BREMBO-F 85 064;F 85 064;F 85 064;BREMBO-F 85 064;D9492339-105E-4AC0-9DBF-000073EF12B8;D9492339-105E-4AC0-9DBF-000073EF12B8;245076;F 85 064;BRO;1435-43565
F38BECB0-AEE1-435E-8F9B-61A4F5D40157;622;QUINTONHAZELL-QBK606;QBK606;QBK606;QUINTONHAZELL-QBK606;F7A42544-B279-4601-827C-0000840D3CA6;F7A42544-B279-4601-827C-0000840D3CA6;1127437;QBK606;QUI;1820-102267
42968687-D183-4B99-BD41-56DF99F951C3;550;SKF-VKC 2130;VKC 2130;VKC 2130;SKF-VKC 2130;06173D3D-C4D9-4893-BC9B-000096BF973A;06173D3D-C4D9-4893-BC9B-000096BF973A;311219;VKC 2130;SKF;1640-32755
5D250677-6038-49FE-91FC-FE734D9AC77D;797;FEBIBILSTEIN-11632;11632;11632;FEBIBILSTEIN-11632;F5CA0466-0B70-4348-8F94-0000D41CB0E2;F5CA0466-0B70-4348-8F94-0000D41CB0E2;464934;11632;FEB;1610-35326
810FB8CD-9561-4E76-AC69-6CA57325974D;2141;AJUSA-13038700;13038700;13038700;AJUSA-13038700;9C8374E4-6611-42D1-9FB9-0000DB81B8BF;9C8374E4-6611-42D1-9FB9-0000DB81B8BF;611907;1610-12161;9AJU;1610-12161
5AE29042-2340-4D48-848D-A66E54FF0183;510;ELRING-818.879;818.879;818.879;ELRING-818.879;4EAA6309-AE41-4A6D-88AF-0000ED78137C;4EAA6309-AE41-4A6D-88AF-0000ED78137C;715938;818.879;ELR;1610-0991
FE067A89-259F-4EE0-A538-F20698DA8B79;797;FEBIBILSTEIN-28038;28038;28038;FEBIBILSTEIN-28038;31A36421-D6B4-42AF-9F54-0000F6F4C9A4;31A36421-D6B4-42AF-9F54-0000F6F4C9A4;442250;28038;FEB;1135-2002
F660D7CB-7221-4840-A522-26A67425C341;798;TRW-BHS798E;BHS798E;BHS798E;TRW-BHS798E;6181B0BF-684C-4DA6-A195-000102FB7170;6181B0BF-684C-4DA6-A195-000102FB7170;362059;BHS798E;TRW;1435-50885
7C3693A2-A469-4CC1-B81F-170F482B167F;501;SPIDAN-53656;53656;53656;SPIDAN-53656;90889D54-C5AC-4518-8D5E-0001320D8976;90889D54-C5AC-4518-8D5E-0001320D8976;1013456;53656;SPI;1570-14964
92312355-3A8D-42A1-9479-2AA0918F5192;613;HERTHBUSSJAKOPARTS-J1100302;J1100302;J1100302;HERTHBUSSJAKOPARTS-J1100302;70E78D99-409E-4E53-8A10-000155FE2851;70E78D99-409E-4E53-8A10-000155FE2851;549536;J1100302;JAK;1820-10689
EDCF40C8-4301-4FE8-93D1-7406407101CD;797;FEBIBILSTEIN-44871;44871;44871;FEBIBILSTEIN-44871;AE297005-0702-4D5E-90C1-0001694A5740;AE297005-0702-4D5E-90C1-0001694A5740;383436;44871;FEB;1570-50817
3955D76D-E765-4EE7-A7ED-727F64B869E6;1408;METZGER-11.5578;11.5578;11.5578;METZGER-11.5578;2F5D0699-BB80-4D7A-BD1F-00018CFBCD77;2F5D0699-BB80-4D7A-BD1F-00018CFBCD77;1220524;11.5578;MEZ;1440-106723
756C85D9-D9A8-4AD6-B44B-D55B04AC7E2E;3810;ABAKUS-665-1503L-UE;665-1503L-UE;665-1503L-UE;ABAKUS-665-1503L-UE;7EF8839E-84AE-4008-BD74-0001C00BF95D;7EF8839E-84AE-4008-BD74-0001C00BF95D;1274448;665-1503L-UE;ABK;1010-103090
4BD39F69-4017-4A2A-B497-60B55F9C70F6;2818;KNFILTERS-BM-1113;BM-1113;BM-1113;KNFILTERS-BM-1113;B32048B0-A0D2-4859-B1D9-0001C3ADC658;B32048B0-A0D2-4859-B1D9-0001C3ADC658;459508;BM-1113;KN;2010-10637
943086FC-1781-4D0B-9E6E-7DDFC6767C0C;533;GATES-3856;3856;3856;GATES-3856;D33E303B-310E-4864-BBED-0001CD49505A;D33E303B-310E-4864-BBED-0001CD49505A;483202;3856;GAT;1720-6897
967211C1-E67A-4D6D-A993-C0971CC61211;2141;AJUSA-11073300;11073300;11073300;AJUSA-11073300;9D07F55D-809E-4A08-B328-0001CDEC8F8D;9D07F55D-809E-4A08-B328-0001CDEC8F8D;1152282;11073300;AJU;1610-117973
9BDCD07F-31EF-4C1F-9A9A-221EAE1BB534;536;VANWEZEL-06005192;06005192;06005192;VANWEZEL-06005192;9634F56B-0E69-4D36-B225-000215F1864F;9634F56B-0E69-4D36-B225-000215F1864F;57487;1730-0810;9VAN;1730-0810
