K24-Nr;ArticleID
1010-0291;775072
1010-0365;775300
1010-0460;774822
1010-0562;826171
1010-0571;826178
1010-0590;826233
1010-0682;828692
1010-0684;828693
1010-0785;845551
1010-100022;1195050
1010-100026;1197928
1010-100027;1198678
1010-100034;1200223
1010-100062;1208008
1010-100094;1220632
1010-100104;1223864
1010-100114;1227662
1010-100136;1233536
1010-100151;1237104
1010-100166;1240696
1010-100189;1246542
1010-100211;1253214
1010-100250;1264717
1010-100347;1291928
1010-100382;1299531
1010-100420;1308367
1010-100426;1310344
1010-100435;1182493
1010-100447;1182812
1010-100466;1183726
1010-100487;1184481
1010-100498;1184849
1010-100501;1185007
1010-100506;1185125
1010-100519;1185724
1010-100539;1186474
1010-100596;1190083
1010-100601;1190367
1010-100610;1190789
1010-100621;1191284
1010-100632;1192072
1010-100638;1192465
1010-100639;1192563
1010-100664;1194172
1010-100685;1195505
1010-100686;1195541
1010-100692;1195782
1010-100695;1196142
1010-100754;1205303
1010-100797;1215453
1010-100808;1217758
1010-100832;1224219
1010-100842;1225978
1010-100846;1228397
1010-100853;1230622
1010-100887;1238910
1010-100892;1239430
1010-100900;1240884
1010-100914;1243831
1010-100978;1257434
1010-100986;1258848
1010-101013;1264685
1010-101023;1267488
1010-101049;1271433
1010-101092;1280454
1010-101099;1282338
1010-101105;1283980
1010-101126;1289024
1010-101131;1290659
1010-101134;1291092
1010-101136;1291719
1010-101156;1295783
1010-101173;1299743
1010-101210;1305688
1010-101308;1083608
1010-101328;1084560
1010-101346;1140020
1010-101405;1083698
1010-101441;1085434
1010-101445;1085473
1010-101448;1142852
1010-101458;1143798
1010-101580;1086653
1010-101582;1086797
1010-101612;1087223
1010-101613;1087254
1010-101614;1087255
1010-101665;1088019
1010-101693;1088736
1010-101705;1089065
1010-101767;1090085
1010-101776;1090222
1010-101778;1090240
1010-101779;1090241
1010-101780;1090242
1010-101782;1090295
1010-101786;1090652
1010-101788;1090654
1010-101798;1090978
1010-101817;1091285
1010-101858;1146792
1010-101870;1148178
1010-101874;1148661
1010-101888;1163691
1010-101889;1163694
1010-101919;1164277
1010-101920;1164322
1010-101929;1164448
1010-101947;1164727
1010-101963;1176513
1010-101968;1193464
1010-101973;1201766
1010-101979;1209547
1010-102057;1219940
1010-102101;1265692
1010-102105;1269797
1010-102167;1273289
1010-102186;1234071
1010-102243;1277982
1010-102390;1204479
1010-102394;1205042
1010-102397;1206799
1010-102398;1207062
1010-102407;1209250
1010-102419;1213522
1010-102473;1223948
1010-102536;1245640
1010-102537;1245756
1010-102538;1245845
1010-102540;1247454
1010-102596;1264419
1010-102598;1264885
1010-102609;1267020
1010-102616;1268192
1010-102631;1271714
1010-102636;1274936
1010-102638;1275596
1010-102651;1278254
1010-102652;1278486
1010-102658;1281109
1010-102682;1288316
1010-102713;1295636
1010-102717;1297224
1010-102719;1297252
