BrandName;Articles (PDM)
A.B.S.;40286
ABAKUS;26222
ACPS-ORIS;1
AE;987
AIC;8371
Airmatic;549
AIRTEX;1016
AISIN;2791
AJUSA;23792
AKS DASIS;11361
ALANKO;4973
ALKAR;12103
AL-KO;934
AMC;1679
APC;26
Arnott;2
AS;2851
ASHIKA;28700
ASMET;1209
AS-PL;2
ASSO;5755
ATE;13949
ATERAPOOL;720
AUTEX;524
AUTOFREN SEINSA;2
AVA QUALITY COOLING;3836
B CAR;484
BARUM;21
BE TURBO;3507
BENDIX;808
BERAL;19
BERU by DRiV;775
BH SENS Huf;1
BILSTEIN;11405
BIRTH;9
BLIC;2
BLUE PRINT;23723
BM CATALYSTS;3148
BORG & BECK;23182
BorgWarner;35
BorgWarner (3K);14
BorgWarner (BERU);618
BorgWarner (Wahler);104
Borsehung;5
BOSAL;10238
BOSCH;479
BREMBO;15447
BREMI;6644
BRINK;2443
BTA;1
BTS Turbo;3486
BUDWEG CALIPER;6344
BUGIAD;39
CAFFARO;4
CALORSTAT by Vernet;2181
CHAMPION;3658
CIFAM;6093
CLEAN FILTERS;1166
ClimAir;39
COFLE;19
CONTINENTAL;126
CONTINENTAL CTAM;2864
Continental/VDO;19
CoopersFiaam;184
CORTECO;16218
CS Germany;2998
DACO Germany;1845
DAKAtec;2320
DAYCO;1153
DELPHI;17304
DENSO;4684
DIEDERICHS;35701
DINEX;619
DOLZ;1034
DRI;28
DT Spare Parts;2136
DUNLOP;1
EBERSPÄCHER;3387
Eberspaecher;553
EIBACH;5293
ELECTRIC LIFE;7
ELRING;9931
ELSTOCK;8996
ELWIS ROYAL;1878
EPS;42
ERA;12410
ERA Benelux;293
ERICH JAEGER;1042
ERNST;2241
ESEN SKV;8549
EUROBRAKE;4299
EUROTEC;3892
EXEDY;2
FA1;21
FACET;3168
FAE;3831
FAG;5335
FAI AutoParts;9286
Faurecia;2973
FEBEST;12129
FEBI BILSTEIN;35878
FENNO;1
FERODO;5279
FILTRON;1806
FIRST LINE;12984
FLENNOR;3817
FRAM;1
FRENKIT;40
FRIESEN;2725
FRIGAIR;5579
FTE;11858
GABRIEL;1
GARRETT;533
GATES;9870
GEBA;338
GEBE;2186
GEDORE;625
GENERAL RICAMBI;15
GK;68
GLASER;1
GLYCO;972
GLYSANTIN;20
GOETZE ENGINE;1118
GRAF;943
GSP;13107
HASTINGS PISTON RING;8537
HAZET;129
HELLA;1040
HELLA PAGID;10086
HENGST FILTER;1935
HEPU;1670
HERTH+BUSS ELPARTS;3633
HERTH+BUSS JAKOPARTS;20264
HITACHI;3141
HJS;441
HOFFER;11533
HR;6995
HUTCHINSON;3770
IJS GROUP;2
IMASAF;677
INA;4009
IPSA;12242
JAEGER;11
JANMOR;2
JAPANPARTS;31135
JOHNS;6820
JP GROUP;14674
JURID;2455
K&N Filters;2761
KAMEI;219
KAMOKA;6790
KEY PARTS;1509
KILEN;6072
KLARIUS;4754
KLOKKERHOLM;83
KNECHT;2262
KOLBENSCHMIDT;4778
KONI;2363
KRAFT AUTOMOTIVE;10846
KS TOOLS;9
KW;1567
KYB;4164
LAUBER;1
LEMFÖRDER;275
LESJÖFORS;6572
LIFT-TEK;1
LIQUI MOLY;1
LIZARTE;2307
LÖBRO;3179
LPR;12547
LRT;899
LUCAS;5033
LuK;3017
MAGNETI MARELLI;27408
Magnum Technology;1
MAHLE;12799
MANN-FILTER;2443
MAPCO;24599
MAXGEAR;23609
MEAT & DORIA;21103
MECARM;130
MEKRA;69
MESSMER;912
METELLI;5110
METZGER;29479
MEYER;1571
MEYLE;21715
MISFAT;8
Monark;6
MONROE;11746
MOOG;7094
MOTAIR TURBO;3112
MTS;4020
NGK;3760
NIPPARTS;9214
NISSENS;4828
NK;22597
NPS;1
NRF;6119
NSK;253
NÜRAL;721
OBERLAND;92
OPTIBELT;331
OPTIMAL;21976
ORIGINAL IMPERIUM;3
OSRAM;294
OSVAT;369
PAYEN;3215
PETEC;5
PEWAGTCD;67
PHILIPS;279
PHIRA;36
PIERBURG;2486
PILKINGTON;11681
PMA;260
POLMO;2972
PowerMax;2806
PRASCO;31238
Prestone;4
PURFLUX;1722
QUINTON HAZELL;2095
RAPRO;7
REMSA;3407
REMY;5296
ROC;4
RTS;4015
RUD;109
SACHS;273
SACHS PERFORMANCE;392
SAKURA;172
Saleri SIL;784
SASIC;11893
SCCFahrzeugtechnik;112
SCHLÜTTER TURBOLADER;2917
SCHOENEK;569
SCHRADER;53
SEKURIT;11689
Servotec;3774
SIDEM;6409
SKF;12187
SNR;5435
SPAHN GLÜHLAMPEN;129
SPIDAN;13675
STABILUS;4130
STC;1
STec;989
SUPLEX;69
SWAG;11
SWF;357
SWSTAHL;143
TEDGUM;5515
TEXTAR;8368
TOPRAN;20061
TRIFA;7
TRISCAN;38529
TRUCKTEC AUTOMOTIVE;6468
TRW;24130
TRW Engine Component;863
TURBORAIL;1
TYC;8632
UFI;12
ULO;1519
UNIPOINT;3
VAICO;22482
VALEO;19912
VAN WEZEL;29686
VARTA;150
VEGAZ;19944
VEGE;1
VEMA;126
VEMO;14765
VICTOR REINZ;10802
VIGOR;10
WABCO;6
WAECO;1007
WALKER;4634
WEBASTO;3
WESTFALIA;1901
WIX FILTERS;2064
ZF;11
ZIMMERMANN;5762
