EngineType;CarNr;CarMake;CarModel;TD-GenartNr;TD-GenartDesc;K24-Kategorie;TD-ArtNr;PDM-ArtID;K24Number;Manufacturer;TD-ManufacturerNr
Elektromotor;650;NISSAN;LEAF (ZE0);70;Bremsbackensatz;Bremsanlage;BB-7578;3107200;NULL;OPT;129
Elektromotor;650;NISSAN;LEAF (ZE0);82;Bremsscheibe;Bremsanlage;8DD 355 122-791;3451127;NULL;HLL;2
Elektromotor;650;NISSAN;LEAF (ZE0);82;Bremsscheibe;Bremsanlage;8DD 355 125-071;3451177;NULL;HLL;2
Elektromotor;650;NISSAN;LEAF (ZE0);194;Faltenbalgsatz, Antriebswelle;Radantrieb;36808;4695097;NULL;SPI;1
Elektromotor;650;NISSAN;LEAF (ZE0);194;Faltenbalgsatz, Antriebswelle;Radantrieb;36809;4695098;NULL;SPI;1
Elektromotor;650;NISSAN;LEAF (ZE0);215;Fußmattensatz;Innenausstattung;PAL18-1104;4690914;NULL;ASU;442
Elektromotor;650;NISSAN;LEAF (ZE0);215;Fußmattensatz;Innenausstattung;PAL18-6104;4692823;NULL;ASU;442
Elektromotor;650;NISSAN;LEAF (ZE0);251;Lagerung, Lenker;Radaufhängung;BSK8101;4686486;NULL;B+B;475
Elektromotor;650;NISSAN;LEAF (ZE0);251;Lagerung, Lenker;Radaufhängung;FSK8101;4686469;NULL;FLI;407
Elektromotor;650;NISSAN;LEAF (ZE0);402;Bremsbelagsatz, Scheibenbremse;Bremsanlage;J3611044;4674158;NULL;NIP;248
Elektromotor;650;NISSAN;LEAF (ZE0);654;Radlagersatz;Radaufhängung;KWD1057;4662237;NULL;DAY;42
Elektromotor;650;NISSAN;LEAF (ZE0);654;Radlagersatz;Radaufhängung;KWD1233;4662412;NULL;DAY;42
Elektromotor;650;NISSAN;LEAF (ZE0);1164;Zubehörsatz, Scheibenbremsbelag;Bremsanlage;BBK1681;4711133;NULL;B+B;475
Elektromotor;650;NISSAN;LEAF (ZE0);1626;Wälzlager, Federbeinstützlager;Radaufhängung;BSJ30005;4697690;NULL;DEH;89
Elektromotor;650;NISSAN;LEAF (ZE0);2248;Kolben, Bremssattel;Bremsanlage;C450-30P;4687901;NULL;ASU;442
Elektromotor;650;NISSAN;LEAF (ZE0);3229;Stange/Strebe, Stabilisator;Radaufhängung;4304176;4680083;NULL;KFT;4546
Elektromotor;650;NISSAN;LEAF (ZE0);5761;Ladekabel, Elektrofahrzeug;Hybrid-/Elektroantrieb;MX 485;4664678;NULL;MAH;287
