BrandName;Articles (TD);Electric;Hybrid;Combustion;Total
1A FIRST AUTOMOTIVE;2272;167;1265;108734;110171
3Effe Group;7995;13;131;155536;155680
3F QUALITY;663;283;1206;45342;46837
3RG;5067;281;344;418132;418757
4u;1;0;0;19;19
555;2632;110;673;49690;50484
A.B.A;1018;1;77;57238;57316
A.B.S.;32402;4390;16127;1463852;1484444
ABAKUS;26938;1457;3432;708962;713869
ABE;5300;453;1918;235059;237439
Ac Rolcar;3546;288;212;76433;76939
ACDelco;922;91;432;80180;80709
ACI-AVESA;3535;25;105;75811;75941
ACKOJAP;6587;326;2735;252413;255562
ACPS-ORIS;2403;0;830;92742;93572
ACR;2502;37;40;91024;91101
AD JSAutomotive;4241;134;318;51961;52413
AD KÜHNER;7019;163;220;187716;188105
ADVICS;1171;5;250;20694;20953
AE;991;0;461;103938;104399
AEROSUS;188;2;23;4237;4262
AES;3792;3;105;90341;90449
AFA;42;126;122;47407;47658
AGC;8716;1164;1609;236692;239497
AHE;5684;118;464;154872;155456
AIC;8518;1552;2904;1069741;1074218
AINDE;3848;0;16;71788;71804
Airmatic;571;261;1401;48200;49873
AIRTEX;1021;1;101;34910;35012
AISIN;7532;323;1584;230019;231945
AISIN-AU;431;0;35;2081;2116
AJUSA;25679;22;6535;670119;676676
AKEBONO;3933;316;737;187536;188592
AKRON-MALÒ;23925;1070;3934;792134;797146
AKS DASIS;12476;286;1213;332148;333649
ALANKO;30876;484;950;895889;897323
ALCO FILTER;2411;101;1340;104864;106308
ALKAR;13778;2803;7563;473999;484439
AL-KO;1306;38;117;50263;50420
ALLIGATOR;5;451;1404;38064;39931
ALLMAKES;3336;0;4;16603;16607
AMC;2020;0;143;58495;58638
AMC Filter;1569;81;813;47535;48442
AMK;12;2;3;306;311
ANGLI;1833;19;109;123797;123925
AP;2672;408;1038;118524;119977
APC;8619;446;676;328578;329716
APEC braking;10702;822;2895;393539;397262
APEX;1760;6;21;22482;22509
APPROVED GREEN;22385;103;1849;201434;203386
APVCarparts;64;168;388;55745;56307
Arnott;533;40;464;10996;11502
AS;1717;0;28;14829;14857
ASAM;5385;429;737;386289;387461
ASHIKA;33333;424;2103;628131;630668
ASHUKI by Palidium;14389;2502;6357;786981;795881
ASIMCO;1343;65;142;43213;43421
ASMET;1238;0;3;8372;8375
ASMETAL;1622;202;567;121969;122742
AS-PL;4348;27;371;309184;309582
ASSO;6537;0;6;42944;42950
ASVA;5774;23;399;126790;127212
ASYSUM;3946;12;453;74295;74760
ATE;9529;1349;7791;621248;630429
ATERAPOOL;720;79;297;30365;30747
ATI;9219;120;229;150273;150622
ATL Autotechnik;3081;2;68;83662;83732
AUTEX;8130;124;2325;352127;354578
AUTLOG;4538;102;804;275934;276840
AUTOCLIMA;397;9;21;23633;23663
AUTOELECTRO;3146;1;153;45741;45895
AUTOFREN SEINSA;6480;989;2908;553239;557151
AUTOGAMMA;5965;55;212;105579;105846
AUTOKIT;5946;199;906;213368;214474
AUTOMEGA;4736;286;362;364367;365016
Automotive RYME;542;234;160;87737;88131
AutomotiveAdriado;3131;222;671;207039;207938
AUTOMOTOR France;862;356;504;113036;113897
AUTO-SPEED PARTS;844;20;352;31060;31432
AUTOTEAM;13083;352;1035;477771;479166
AutoTechteile;817;191;95;108894;109180
AVA QUALITY COOLING;9029;330;1384;252950;254683
AVS AUTOPARTS;2604;109;1040;114778;115929
AYD;4563;444;3080;197377;200906
B CAR;577;158;28;27416;27602
BANDO;786;15;8;21579;21602
BannerPool;125;233;699;83842;84780
BÄREN;65;119;220;83471;83810
BARUM;21;3;2;2591;2596
BBA;78;7;8;9257;9272
BBR Automotive;4619;268;1546;240977;242802
BBT;1546;35;488;50566;51089
BE TURBO;3825;0;176;49240;49416
BEHR;11;0;0;248;248
BENDIX;13325;1291;4124;607153;612582
BENDIX-AU;1513;3;151;20674;20828
BERAL;61;15;0;2968;2983
BERGA;59;207;631;66878;67721
BERU by DRiV;868;8;105;87052;87165
BF;62;0;21;4187;4208
BGA;23725;1292;4801;1080682;1086781
BGS;243;0;172;55308;55480
BH SENS Huf;63;633;3941;47746;52355
BILSTEIN;7411;75;4580;214386;219041
BINDER;19935;2732;7227;725503;735536
BIRTH;13349;683;2293;628578;631560
BLIC;24814;1888;2976;708293;713193
BLOCKSTEM;573;46;59;14688;14794
BLUE PRINT;22934;1400;5851;708161;715438
BM CATALYSTS;6042;0;56;38955;39011
BOGE;65;8;112;2664;2784
BORG & BECK;25267;2817;9757;1192836;1205458
BorgWarner;250;0;21;4495;4516
BorgWarner (3K);99;0;0;944;944
BorgWarner (AWD);30;0;12;2314;2326
BorgWarner (BERU);619;2;88;29566;29656
BorgWarner (Wahler);505;0;48;25362;25410
Borsehung;1477;92;858;273596;274546
BOSAL;6410;0;348;95808;96156
BOSCH;364;137;505;40581;41224
Brake ENGINEERING;7531;531;1502;311942;313980
BRAXIS;4823;219;304;173513;174036
BRECAV;914;0;109;18872;18981
BRECK;724;122;293;64022;64440
BRECO;2646;364;958;98227;99555
BREDA LORETT;3085;44;128;116156;116328
BREMBO;13499;1559;5294;620139;627023
BREMI;6698;132;1822;179257;181214
BREMSI;4681;622;2269;220090;222993
BRINK;2796;539;3790;76535;80884
BRISK;290;0;65;54176;54241
BROVEX-NELSON;8043;340;2512;167408;170269
BSF;6728;301;499;275657;276457
BSG;15730;1337;3459;1056975;1061788
BTA;2688;174;668;124894;125738
BTS Turbo;4168;0;44;63737;63781
BUCHLI;6786;2;2488;258965;261455
BUDWEG CALIPER;6606;594;2595;310758;313957
BUGATTI;843;1;51;27929;27981
BUGIAD;464;20;152;31316;31488
BV PSH;4321;24;446;232398;232868
CABOR;3611;183;104;120451;120738
CAFFARO;1148;0;161;51397;51558
CALIBER;5371;107;398;234791;235296
CALIX;387;0;56;24423;24479
CALORSTAT by Vernet;2189;126;877;216167;217173
CAR;8214;272;749;246127;247150
CARPRISS;146;893;1165;328161;330238
CASALS;1883;190;252;67390;67832
CASCO;11624;697;1197;360146;362063
CAUTEX;22674;882;1490;874407;876784
CDX;2880;58;30;53467;53555
CEF;4214;155;432;99265;99853
CENTRA;164;186;358;74430;74975
CEVAM;11046;161;415;246206;246782
CHAMPION;3774;4679;10260;1184963;1200002
CIAKStarter;37;66;82;43832;43980
CIFAM;8842;616;2251;316376;319250
CLEAN FILTERS;1352;61;612;89227;89904
ClimAir;2417;142;814;41520;42484
CLUTCHNUS;4205;3;56;168938;168997
CMParts;37;0;0;4981;4981
COFLE;8514;228;402;199446;200078
COMLINE;11177;1885;5532;803566;811034
CONTINENTAL;1416;566;2022;197912;200523
CONTINENTAL CTAM;2889;7;562;152193;152762
Continental/VDO;867;286;432;51560;52279
CoopersFiaam;1655;186;2666;133492;136352
CORTECO;18210;706;4047;798488;803273
CPB;3172;242;1636;260069;261952
CPTEC4YOU;597;0;20;16131;16151
CRAFT BEARINGS;120;42;39;13724;13805
CRK;1866;0;96;37059;37155
CS Germany;3193;61;16;44258;44335
CSV electronic parts;11671;550;2689;943244;946485
CTE;2692;469;1032;73386;74897
CTR;1091;21;88;46384;46493
CUYMAR;87;3;0;3898;3901
DA SILVA;20024;220;803;611415;612438
DACO Germany;3950;166;567;173881;174617
DAKAtec;3114;463;1395;281518;283388
DANAHER;2983;191;469;166917;167579
DAYCO;6190;92;1564;381359;383017
DBA Australia;3690;54;333;43927;44314
DELPHI;20090;4221;13805;1166456;1184565
DENCKERMANN;10361;731;1702;580134;582580
DENSO;5340;686;2032;379479;382216
