EngineType;CarNr;CarMake;GenericArticleNo;TD-ArtNr;K24-Nr;Summe
Elektromotor;650;NISSAN;1;22;18;4
Elektromotor;650;NISSAN;5;7;5;2
Elektromotor;650;NISSAN;7;1;0;1
Elektromotor;650;NISSAN;8;1;0;1
Elektromotor;650;NISSAN;12;1;0;1
Elektromotor;650;NISSAN;39;1;1;0
Elektromotor;650;NISSAN;51;4;2;2
Elektromotor;650;NISSAN;56;5;5;0
Elektromotor;650;NISSAN;62;2;2;0
Elektromotor;650;NISSAN;70;3;1;2
Elektromotor;650;NISSAN;78;60;36;24
Elektromotor;650;NISSAN;82;193;152;41
Elektromotor;650;NISSAN;83;29;26;3
Elektromotor;650;NISSAN;105;45;34;11
Elektromotor;650;NISSAN;106;39;37;2
Elektromotor;650;NISSAN;107;81;81;0
Elektromotor;650;NISSAN;108;18;16;2
Elektromotor;650;NISSAN;112;30;25;5
Elektromotor;650;NISSAN;113;14;10;4
Elektromotor;650;NISSAN;114;16;11;5
Elektromotor;650;NISSAN;179;1;1;0
Elektromotor;650;NISSAN;188;33;22;11
Elektromotor;650;NISSAN;189;1;1;0
Elektromotor;650;NISSAN;191;4;2;2
Elektromotor;650;NISSAN;193;5;3;2
Elektromotor;650;NISSAN;194;13;11;2
Elektromotor;650;NISSAN;195;8;6;2
Elektromotor;650;NISSAN;215;2;0;2
Elektromotor;650;NISSAN;219;6;6;0
Elektromotor;650;NISSAN;251;28;20;8
Elektromotor;650;NISSAN;259;2;2;0
Elektromotor;650;NISSAN;273;71;59;12
Elektromotor;650;NISSAN;284;4;2;2
Elektromotor;650;NISSAN;286;2;0;2
Elektromotor;650;NISSAN;289;7;6;1
Elektromotor;650;NISSAN;291;5;5;0
Elektromotor;650;NISSAN;298;91;46;45
Elektromotor;650;NISSAN;331;4;4;0
Elektromotor;650;NISSAN;391;6;4;2
Elektromotor;650;NISSAN;402;128;96;32
Elektromotor;650;NISSAN;405;21;19;2
Elektromotor;650;NISSAN;412;8;8;0
Elektromotor;650;NISSAN;424;35;27;8
Elektromotor;650;NISSAN;447;4;0;4
Elektromotor;650;NISSAN;448;12;12;0
Elektromotor;650;NISSAN;449;4;2;2
Elektromotor;650;NISSAN;450;3;3;0
Elektromotor;650;NISSAN;467;6;6;0
Elektromotor;650;NISSAN;470;5;4;1
Elektromotor;650;NISSAN;508;6;5;1
Elektromotor;650;NISSAN;626;2;2;0
Elektromotor;650;NISSAN;653;7;7;0
Elektromotor;650;NISSAN;654;65;50;15
Elektromotor;650;NISSAN;655;3;1;2
Elektromotor;650;NISSAN;657;4;4;0
Elektromotor;650;NISSAN;658;2;2;0
Elektromotor;650;NISSAN;794;2;1;1
Elektromotor;650;NISSAN;806;6;5;1
Elektromotor;650;NISSAN;830;10;10;0
Elektromotor;650;NISSAN;854;4;1;3
Elektromotor;650;NISSAN;878;2;1;1
Elektromotor;650;NISSAN;901;2;2;0
Elektromotor;650;NISSAN;914;63;53;10
Elektromotor;650;NISSAN;919;2;2;0
Elektromotor;650;NISSAN;950;2;2;0
Elektromotor;650;NISSAN;1080;7;7;0
Elektromotor;650;NISSAN;1092;28;27;1
Elektromotor;650;NISSAN;1093;4;2;2
Elektromotor;650;NISSAN;1159;2;2;0
Elektromotor;650;NISSAN;1164;20;19;1
Elektromotor;650;NISSAN;1165;5;5;0
Elektromotor;650;NISSAN;1180;26;18;8
Elektromotor;650;NISSAN;1182;1;0;1
Elektromotor;650;NISSAN;1191;7;7;0
Elektromotor;650;NISSAN;1192;4;4;0
Elektromotor;650;NISSAN;1194;5;5;0
Elektromotor;650;NISSAN;1209;6;6;0
Elektromotor;650;NISSAN;1300;1;1;0
Elektromotor;650;NISSAN;1334;13;10;3
Elektromotor;650;NISSAN;1337;5;3;2
Elektromotor;650;NISSAN;1360;6;6;0
Elektromotor;650;NISSAN;1419;34;26;8
Elektromotor;650;NISSAN;1502;3;2;1
Elektromotor;650;NISSAN;1590;2;2;0
Elektromotor;650;NISSAN;1626;13;12;1
Elektromotor;650;NISSAN;1632;13;10;3
Elektromotor;650;NISSAN;1701;2;2;0
Elektromotor;650;NISSAN;1724;4;2;2
Elektromotor;650;NISSAN;1761;6;2;4
Elektromotor;650;NISSAN;1914;4;4;0
Elektromotor;650;NISSAN;2055;7;7;0
Elektromotor;650;NISSAN;2065;1;1;0
Elektromotor;650;NISSAN;2066;2;0;2
Elektromotor;650;NISSAN;2070;2;0;2
Elektromotor;650;NISSAN;2169;6;6;0
Elektromotor;650;NISSAN;2232;10;4;6
Elektromotor;650;NISSAN;2248;11;9;2
Elektromotor;650;NISSAN;2391;1;1;0
Elektromotor;650;NISSAN;2394;8;8;0
Elektromotor;650;NISSAN;2462;28;22;6
