H-Lief;Herstellername;Hersteller-ABK;K24-Nr;Bezeichnung;Laenge;Breite;Hoehe;Volume;Gewicht;QuantityOfPackagingMaterial;PackagingUnit:Link
NULL;FILMER;FIM;2340-0174;Lufterfrischer Gekko Zitrone (9802);NULL;NULL;NULL;NULL;0.045;1.000;VPE1
90002;SPAHN Preishammer;9SPA;1080-0387;Glühlampe H8 (9045) 35W [12V];NULL;NULL;NULL;NULL;0.048;1.000;VPE1
90013;SWSTAHL;SWS;2320-102078;[SWSTAHL] Drehmomentschlüssel 1/2 Zoll, 40 - 200 Nm;559;54;51;1.539;1.485;1.000;VPE1
90013;SWSTAHL;SWS;2320-110809;[SWSTAHL] Profi-Montagerollbrett;1050;490;95;48.878;5.500;1.000;VPE1
90013;SWSTAHL;SWS;2320-117035;"[SWSTAHL] Druckluft Schlagschrauber 1/2"", 1.492 Nm";222;210;76;3.543;2.260;1.000;VPE1
90013;HAZET;HAZ;2320-11880;[HAZ] Druckluftreifenprüfer/-füller;315;165;45;2.339;0.410;1.000;VPE1
90013;HAZET;HAZ;2320-11881;[HAZ] Druckluftschlauch;459;93;86;3.671;0.630;1.000;VPE1
90013;HAZET;HAZ;2320-11961;[HAZ] Schraubendrehersatz;310;165;47;2.404;0.560;1.000;VPE1
90013;MOTIP;MOP;2340-1575;[COLORMATIC] Scheinwerfer Klarsicht-Set (169);215;205;230;10.137;1.550;1.000;VPE1
90013;PRESTO;PST;2340-1647;[PRESTO] Scheinwerfer Aufbereitungs-Set (169);185;95;55;0.967;1.469;1.000;VPE1
90013;PRESTO;PST;2340-1951;[Presto] Dieselpartikelfilter-Reiniger (169);65;65;238;1.006;0.520;1.000;VPE1
90013;DUPLI COLOR;DUL;2370-3640;[COLORMATIC] 1K Klarlack  glänzend 400ml (169);70;70;195;0.956;0.420;1.000;VPE1
90013;PRESTO;PST;2370-3812;presto Haftgrund grau 500 (169);68;68;230;1.064;0.500;1.000;VPE1
90013;PRESTO;PST;2370-3816;presto schwarz matt 500 (169);77;77;240;1.423;0.500;1.000;VPE1
90013;PRESTO;PST;2370-3818;presto Klarlack glänzend 500ml (169);230;70;70;1.127;0.500;1.000;VPE1
90013;PRESTO;PST;2370-3905;Rostlöser-Spray 400 ml (169);70;70;195;0.956;0.390;1.000;VPE1
90013;PRESTO;PST;2370-3906;Klebespray 400ml (169);70;70;205;1.005;0.420;1.000;VPE1
90013;PRESTO;PST;2370-3907;PTFE-Spray 400ml (169);70;70;195;0.956;0.420;1.000;VPE1
90013;PRESTO;PST;2370-3915;presto Aluminium Spray 400 (169);70;70;195;0.956;0.380;1.000;VPE1
90013;PRESTO;PST;2370-3917;[PRESTO] Zinkspray 400ml (169);210;145;210;6.395;0.520;1.000;VPE1
90013;PRESTO;PST;2370-3918;Haftgrund f. Kunststoffte. 400 (169);NULL;NULL;NULL;NULL;0.420;1.000;VPE1
90013;PRESTO;PST;2370-3919;presto Spritzspachtel 400ml (169);75;75;210;1.181;0.420;1.000;VPE1
90013;PRESTO;PST;2370-3921;presto Rostradierer-Stift (169);185;90;20;0.333;0.020;1.000;VPE1
90013;PRESTO;PST;2370-3925;presto Primer grau 750ml (169);105;105;120;1.323;0.750;1.000;VPE1
90013;PRESTO;PST;2370-3927;[PRESTO] Rost stop Rostumwandlerspray 150 ml (169);50;50;155;0.388;0.190;1.000;VPE1
90013;PRESTO;PST;2370-3932;Unterbodenschutz [PRESTO] Spritzpistole 206 (169);380;240;55;5.016;0.550;1.000;VPE1
