TD-ArtNr;PDM-ArticleID;PDM-K24Nr
ABAKUS-003-015-0001;1199976;1710-117488
ABAKUS-004-016-0024;1729022;1731-106029
ABAKUS-009-014-0001;1730297;1740-106732
ABAKUS-009-015-0003;1193406;1710-118451
ABAKUS-009-016-0009;1201437;1730-106639
ABAKUS-009-016-0023;1730374;1731-106051
ABAKUS-009-022-0003;3331432;1740-111140
ABAKUS-009-022-0005;3331434;1740-111142
ABAKUS-009-24-261;3230273;1120-111965
ABAKUS-009-24-262;3230274;1120-110701
ABAKUS-009-24-500;3230868;1126-107785
ABAKUS-009-24-510;3230869;1126-109585
ABAKUS-009-24-513;3230870;1126-109586
ABAKUS-009-31-900;1730875;1040-101850
ABAKUS-016-015-0002;1732477;1730-114663
ABAKUS-016-022-0002;3331437;1740-111145
ABAKUS-016-04-100;3234859;1121-102890
ABAKUS-016-04-202;3230296;1120-111986
ABAKUS-016-05-510;3230907;1126-109616
ABAKUS-017-016-0018;1733294;1731-106078
ABAKUS-017-017-0056-B;3234402;1710-143398
ABAKUS-017-018-0017;3331416;1710-146326
ABAKUS-017-026-003;3528023;1720-138914
ABAKUS-017-027-001;4446031;1720-153621
ABAKUS-017-13-105;3234879;1121-102908
ABAKUS-017-13-600;3230949;1126-109656
ABAKUS-017-30-900;3538079;1040-103199
ABAKUS-017-53-123;3230995;1126-109699
ABAKUS-017-53-201;3230368;1120-112056
ABAKUS-017-53-202;3230369;1120-112057
ABAKUS-017-53-300;3232035;1125-126952
ABAKUS-017-53-381;4322950;1125-130386
ABAKUS-017-53-382;4322951;1125-130387
ABAKUS-017-53-385;4322952;1125-130388
ABAKUS-017-53-386;4322953;1125-130389
ABAKUS-017-53-389;4322954;1125-130390
ABAKUS-017-53-401;3232434;1125-127170
ABAKUS-017-53-402;3232435;1125-127171
ABAKUS-017-53-450;3233955;1125-127416
ABAKUS-017-53-451;3233956;1125-127417
ABAKUS-017-53-452;3233957;1125-127418
ABAKUS-017-53-453;3232607;1125-127253
ABAKUS-017-53-454;3232608;1125-127254
ABAKUS-017-53-455;3232609;1125-127255
ABAKUS-017-53-456;3232610;1125-127256
ABAKUS-017-53-457;3233958;1125-127419
ABAKUS-017-53-458;3233959;1125-127420
ABAKUS-017-53-459;3233960;1125-127421
ABAKUS-017-53-464;3233961;1125-127422
ABAKUS-017-53-465;3233962;1125-127423
ABAKUS-017-53-466;3233963;1125-127424
ABAKUS-017-53-502;3230996;1126-109700
ABAKUS-017-53-592;3234744;1125-127735
ABAKUS-017-53-702;3230999;1126-109703
ABAKUS-017-60-360;3880426;1125-130065
ABAKUS-022-016-0008;3235100;1731-110427
ABAKUS-022-017-0009-B;3234421;1710-146240
ABAKUS-022-04-861;1735762;1010-105889
ABAKUS-022-04-862;1735764;1010-105890
ABAKUS-022-04-863;1735766;1010-105891
ABAKUS-022-04-864;1735768;1010-105892
ABAKUS-022-04-865;1735771;1010-105893
ABAKUS-022-04-866;1735773;1010-105894
ABAKUS-037-43-870;3814173;1030-119435
ABAKUS-038-022-0001;3331458;1740-111166
ABAKUS-038-025-0018;4187427;1720-151231
ABAKUS-038-027-001;4446041;1720-153631
ABAKUS-038-027-002;4446042;1720-153632
ABAKUS-038-027-004;4446044;1720-153634
ABAKUS-038-33-880;4649846;1030-122323
ABAKUS-0400G06;3946906;1130-127700
ABAKUS-0401G05;3946907;1130-127701
ABAKUS-0401G08;3946909;1130-127703
ABAKUS-0401G12;3946911;1130-127705
ABAKUS-042-014-0004;3232562;1740-110981
ABAKUS-042-014-0010;3486634;1740-111572
ABAKUS-042-016-0030;1740321;1731-106202
ABAKUS-042-016-0049;3235144;1731-110461
ABAKUS-042-022-0004;3331467;1740-111175
ABAKUS-042-06-500;3231097;1126-109794
ABAKUS-042-06-510;3231098;1126-109795
ABAKUS-042-36-861;1741179;1010-105908
ABAKUS-042-36-862;1741181;1010-105909
ABAKUS-042-39-320;3232097;1125-127003
ABAKUS-042-40-100;3234969;1121-102990
ABAKUS-042-40-211;3230559;1120-112223
ABAKUS-042-40-212;3230560;1120-112224
ABAKUS-042-40-360;3880474;1125-130113
ABAKUS-042-40-370;3880476;1125-130115
ABAKUS-042-40-400;3234062;1125-127516
ABAKUS-042-40-420;3232465;1125-127200
ABAKUS-042-40-421;3231484;1125-122374
ABAKUS-042-40-450;3234063;1125-127517
ABAKUS-042-40-459;3234066;1125-122453
ABAKUS-042-46-300;3232100;1125-127004
ABAKUS-042-46-360;3880478;1125-130117
ABAKUS-042-46-381;4322988;1125-130424
ABAKUS-042-46-382;4322989;1125-130425
ABAKUS-042-46-385;4322990;1125-130426
ABAKUS-042-46-386;4322991;1125-130427
ABAKUS-042-46-387;4322992;1125-130428
ABAKUS-042-46-388;4322993;1125-130429
ABAKUS-042-46-400;3232466;1125-122430
