ManufacturerNo;Name;TecDoc.Link;TecDoc.Version;ArticleBrand:Link;ManufacturerShortName;IsActive <DE>
SPI;SPIDAN;1;20210401;501;SPIDAN;1
HLL;HELLA;2;20210401;502;HELLA;1
ATE;ATE;3;20210401;503;ATE;1
MUH;MANN-FILTER;4;20210401;504;MANN;1
PI;PIERBURG;5;20210401;505;PIERBURG;1
LUK;LuK;6;20210401;506;LuK;1
EB;EBERSPÄCHER;7;20210401;507;EBERSPÄCHER;1
REI;VICTOR REINZ;9;20210401;509;REINZ;1
ELR;ELRING;10;20210401;510;ELRING;1
BEU;BorgWarner (BERU);11;20210401;511;BERU;1
PAG;PAGID;12;20210401;512;NULL;1
WAK;WALKER;13;20210401;513;WALKER;1
BOG;BOGE;14;20210401;514;NULL;NULL
NGK;NGK;15;20210401;515;NGK;1
BIL;BILSTEIN;16;20210401;516;BILSTEIN;1
KON;KONI;18;20210401;518;NULL;1
SWF;SWF;19;20210401;519;SWF;1
LUC;LUCAS ELECTRICAL;20;20190603;520;NULL;0
VAL;VALEO;21;20210401;521;VALEO;1
EVR;RUVILLE;23;20210401;523;NULL;0
EXE;EXIDE;24;20210401;1846;EXIDE;0
VAR;VARTA;26;20210401;526;VARTA;1
SIF;SIDAT;27;20210401;2727;NULL;NULL
CVP;BV PSH;28;20210401;2271;NULL;NULL
EAT;ERNST;29;20210401;529;NULL;1
BOH;BOSCH;30;20210401;530;BOSCH;1
CON;CONTINENTAL CTAM;31;20210401;531;CONTITECH;1
SAC;SACHS;32;20210401;532;SACHS;1
GAT;GATES;33;20210401;533;GATES;1
KNE;KNECHT;34;20210401;534;NULL;0
LEF;LEMFÖRDER;35;20210401;535;LEMFÖRDER;1
VAN;VAN WEZEL;36;20210401;536;VAN WEZEL;1
MON;MONROE;37;20210401;537;MONROE;1
PUR;PURFLUX;38;20210401;538;NULL;1
TEX;TEXTAR;39;20210401;539;NULL;1
BOL;BOSAL;41;20210401;541;BOSAL;0
DAY;DAYCO;42;20210401;542;NULL;1
CHA;CHAMPION;43;20210401;543;CHAMPION;1
SPA;SPAHN GLÜHLAMPEN;45;20210401;2257;SPAHN;0
BMI;BREMI;47;20210401;547;BREMI;1
JUR;JURID;48;20210401;548;NULL;NULL
BDX;BENDIX;49;20210401;549;NULL;NULL
SKF;SKF;50;20210401;550;SKF;1
WEA;WESTFALIA;51;20210401;1842;NULL;1
BH;BEHR;52;20210401;712;NULL;1
FTE;FTE;54;20210401;878;NULL;0
JAK;HERTH+BUSS JAKOPARTS;55;20210401;613;HB JAKOPARTS;1
LOB;LÖBRO;56;20210401;811;NULL;0
QUI;QUINTON HAZELL;57;20210401;622;QUINTON HAZELL;0
FRM;FRAM;59;20210401;604;NULL;0
GOE;GOETZE;60;20210401;1845;NULL;NULL
TYC;TYC;61;20210401;2266;TYC;0
FED;FERODO;62;20210401;876;NULL;NULL
PES;PE Automotive;63;20210401;2260;NULL;1
ARN;OPTIBELT;64;20210401;620;NULL;NULL
BRO;BREMBO;65;20210401;875;BREMBO;1
DEN;DENSO;66;20210401;733;DENSO;1
OSR;OSRAM;67;20210401;646;OSRAM;1
ZFA;ZF;68;20210401;2267;NULL;1
GLX;GABRIEL;71;20210401;779;NULL;1
HB;HERTH+BUSS ELPARTS;72;20210401;635;HB ELPARTS;1
MIN;MINTEX;73;20210401;617;NULL;NULL
PHI;PHILIPS;75;20210401;648;PHILIPS;1
KKM;KLOKKERHOLM;78;20210401;1160;NULL;0
WAH;BorgWarner (Wahler);79;20210401;741;NULL;0
DAS;AKS DASIS;80;20210401;1340;AKS DASIS;1
HFR;HENGST FILTER;81;20210401;612;HENGST;1
VDO;Continental/VDO;83;20210401;728;VDO;1
KYB;KYB;85;20210401;1410;KYB;1
ZIM;ZIMMERMANN;86;20210401;877;ZIMMERMANN;1
FRX;FRIESEN;87;20210401;681;NULL;0
GLA;GLASER;88;20210401;1409;NULL;0
DEH;DELPHI;89;20210401;1400;NULL;1
FA;FARCOM;90;20210401;1406;NULL;NULL
TCR;TECNOCAR;91;20210401;606;NULL;NULL
SGP;SogefiPro;92;20210401;602;NULL;NULL
HS;SCHLIECKMANN;93;NULL;1407;SCHLIECKMANN;0
MEZ;METZGER;94;20210401;1408;METZGER;1
MAR;MAGNETI MARELLI;95;20210401;603;MAGNETI MARELLI;0
ALK;AL-KO;96;20210401;1404;NULL;0
WAE;WAECO;97;20210401;1411;WAECO;1
ROU;ROULUNDS RUBBER;100;20191001;1412;NULL;NULL
FEB;FEBI BILSTEIN;101;20210401;797;FEBI;1
ZF;ZF LENKSYSTEME;104;20171001;1840;NULL;1
BHS;BEHR HELLA SERVICE;105;20200101;1860;NULL;NULL
BRK;BRINK;106;20210401;2499;BRINK;1
TRN;TRISCAN;108;20210401;1242;NULL;1
BGG;BUGATTI;109;20210401;1700;NULL;NULL
SNR;SNR;110;20210401;1740;NULL;1
EIB;EIBACH;112;20210401;1760;EIBACH;1
PAY;PAYEN;113;20210401;1761;NULL;0
BDW;BUDWEG CALIPER;114;20210401;1762;BUDWEG;1
ULO;ULO;115;20210401;655;NULL;0
LRT;LRT;117;20210401;1800;LRT;1
HJS;HJS;118;20210401;1901;HJS;1
MLI;METELLI;121;20210401;1941;NULL;0
OBE;OBERLAND;122;20210401;1962;OBERLAND;0
NIS;NISSENS;123;20210401;1961;NISSENS;1
STL;STABILUS;126;20210401;1240;NULL;0
NK;NK;127;20210401;2044;NK;0
BUE;BE TURBO;128;20210401;2097;NULL;NULL
OPT;OPTIMAL;129;20210401;2081;OPTIMAL;1
MAP;MAPCO;133;20210401;2099;MAPCO;0
MOG;MOOG;134;20210401;2100;NULL;1
SID;SIDEM;135;20210401;2101;NULL;0
FON;FONOS;136;20210401;1425;NULL;NULL
UFI;UFI;137;20210401;608;NULL;0
JO;JOHNS;138;20210401;2110;JOHNS;0
AJU;AJUSA;139;20210401;2141;AJUSA;1
COC;CORTECO;140;20210401;2118;NULL;1
AE;AE;141;20210401;2119;NULL;0
SF;SOFIMA;142;20210401;2122;NULL;NULL
BEG;BERGA;143;20210401;2135;NULL;NULL
MYE;MEYLE;144;20210401;2136;MEYLE;1
NWB;NWB;145;20210401;2137;NULL;NULL
AMF;AMC Filter;146;20210401;2138;NULL;NULL
SWA;SWAG;151;20210401;1241;NULL;0
ROA;ROADHOUSE;152;20210401;2168;NULL;NULL
RE;REMSA;153;20210401;2167;NULL;0
DOZ;DOLZ;154;20210401;789;NULL;0
URW;URW;155;20210401;2192;NULL;NULL
JPP;JAPANPARTS;156;20210401;2194;NULL;1
BGD;BUGIAD;157;20210401;2195;NULL;1
ICE;ICER;158;20210401;2196;NULL;NULL
FAT;FACET;159;20210401;736;FACET;0
TRW;TRW;161;20210401;798;TRW;1
VAI;VAICO;162;20210401;2199;NULL;1
CLF;CLEAN FILTERS;163;20210401;2111;CLEAN FILTERS;1
TWI;TWINTEC;165;20190101;2240;TWINTEC;1
ASI;AISIN;166;20210401;1865;NULL;NULL
DUL;DUPLI COLOR;167;20210401;2263;DUPLI;1
MOP;MOTIP;168;20210401;2264;MOTIP;1
PST;PRESTO;169;20210401;2265;PRESTO;1
MTC;MOTORCRAFT;171;NULL;619;NULL;NULL
RMD;RAMEDER;173;20210401;2268;NULL;NULL
LSJ;LESJÖFORS;175;20210401;2279;LESJÖFORS;1
KIL;KILEN;176;20210401;2280;NULL;0
BTS;BTS Turbo;177;20210401;2281;BTS Turbo;1
