TableName;Version;TableImageName
Article.AccessoryListItemAttributes;2.0.0.34;Article.AccessoryListItemAttributes
Article.AccessoryListItems;2.0.0.34;Article.AccessoryListItems
Article.AccessoryLists;2.0.0.34;Article.AccessoryLists
Article.ArticleAttributes;2.0.0.0;Article.ArticleAttributes
Article.ArticleBarcodes;2.0.0.0;Article.ArticleBarcodes
Article.ArticleDocuments;2.0.0.39;Article.ArticleDocuments
Article.ArticleInformationTexts;;Article.ArticleInformationTexts
Article.Articles;2.0.0.41;Article.Articles
Article.ArticlesHCodes;2.0.2.134;Article.ArticlesHCodes
Article.ArticlesPCodes;2.0.2.134;Article.ArticlesPCodes
Article.Assortments;2.0.2.049;Article.Assortments
Article.ComparativeReferences;;Article.ComparativeReferences
Article.CustomerAssortments;;Article.CustomerAssortments
Article.CustomerPrices;;Article.CustomerPrices
Article.ErpBarcodes;2.0.2.143;Article.ErpBarcodes
Article.ErpReferences;2.0.2.063;Article.ErpReferences
Article.ExtendedLogisticData;;Article.ExtendedLogisticData
Article.ExtendedLogisticDataCodes;;Article.ExtendedLogisticDataCodes
Article.ExtendedLogisticDataPackages;2.0.2.111;Article.ExtendedLogisticDataPackages
Article.GeneralArticlePrices;;Article.GeneralArticlePrices
Article.GenericArticleReferences;;Article.GenericArticleReferences
Article.IdenticalReplacements;2.0.2.099;Article.IdenticalReplacements
Article.InterfaceHashValues;;Article.InterfaceHashValues
Article.NavTransferErrors;2.0.2.075;Article.NavTransferErrors
Article.OEReferences;2.0.0.32;Article.OEReferences
Article.PartsListItemAttributes;2.0.0.0;Article.PartsListItemAttributes
Article.PartsListItems;;Article.PartsListItems
Article.PartsListItemSensitiveAreaAssignments;NULL;Article.PartsListItemSensitiveAreaAssignments
Article.ReferenceArticles;;Article.ReferenceArticles
Article.SalesPackagingUnits;2.0.2.151;Article.SalesPackagingUnits
Article.SalesPrices;2.0.2.071;Article.SalesPrices
Article.SupplierArticles;;Article.SupplierArticles
Article.SupplierPrices;;Article.SupplierPrices
Article.TecDocArticleDataCountrySpec;2.0.0.0;Article.TecDocArticleDataCountrySpec
Article.TecDocPrices;;Article.TecDocPrices
Article.TradeNumbers;;Article.TradeNumbers
ArticleLinkages.Axles;2.0.0.0;ArticleLinkages.Axles
ArticleLinkages.AxlesAttributes;2.0.0.0;ArticleLinkages.AxlesAttributes
ArticleLinkages.AxlesBlacklist;;ArticleLinkages.AxlesBlacklist
ArticleLinkages.AxlesDocuments;2.0.0.0;ArticleLinkages.AxlesDocuments
ArticleLinkages.AxlesInformationTexts;;ArticleLinkages.AxlesInformationTexts
ArticleLinkages.CommercialVehicles;2.0.0.0;ArticleLinkages.CommercialVehicles
ArticleLinkages.CommercialVehiclesAttributes;2.0.0.0;ArticleLinkages.CommercialVehiclesAttributes
ArticleLinkages.CommercialVehiclesBlacklist;;ArticleLinkages.CommercialVehiclesBlacklist
ArticleLinkages.CommercialVehiclesDocuments;2.0.0.0;ArticleLinkages.CommercialVehiclesDocuments
ArticleLinkages.CommercialVehiclesInformationTexts;2.0.0.0;ArticleLinkages.CommercialVehiclesInformationTexts
ArticleLinkages.Engines;2.0.0.0;ArticleLinkages.Engines
ArticleLinkages.EnginesAttributes;2.0.0.0;ArticleLinkages.EnginesAttributes
ArticleLinkages.EnginesBlacklist;;ArticleLinkages.EnginesBlacklist
ArticleLinkages.EnginesDocuments;2.0.0.0;ArticleLinkages.EnginesDocuments
ArticleLinkages.EnginesInformationTexts;;ArticleLinkages.EnginesInformationTexts
ArticleLinkages.ManufacturerIDs;2.0.0.0;ArticleLinkages.ManufacturerIDs
ArticleLinkages.ManufacturerIDsAttributes;2.0.0.0;ArticleLinkages.ManufacturerIDsAttributes
ArticleLinkages.ManufacturerIDsBlacklist;;ArticleLinkages.ManufacturerIDsBlacklist
ArticleLinkages.ManufacturerIDsDocuments;2.0.0.0;ArticleLinkages.ManufacturerIDsDocuments
ArticleLinkages.ManufacturerIDsInformationTexts;;ArticleLinkages.ManufacturerIDsInformationTexts
ArticleLinkages.PassengerCars;2.0.0.0;ArticleLinkages.PassengerCars
ArticleLinkages.PassengerCarsAttributes;2.0.0.0;ArticleLinkages.PassengerCarsAttributes
ArticleLinkages.PassengerCarsBlacklist;;ArticleLinkages.PassengerCarsBlacklist
ArticleLinkages.PassengerCarsDocuments;2.0.0.0;ArticleLinkages.PassengerCarsDocuments
ArticleLinkages.PassengerCarsInformationTexts;2.0.0.0;ArticleLinkages.PassengerCarsInformationTexts
DataTransfer.Blacklist;2.0.2.141;DataTransfer.Blacklist
DataTransfer.ExtendedLogisticData;;DataTransfer.ExtendedLogisticData
DataTransfer.ExtendedLogisticDataCodes;;DataTransfer.ExtendedLogisticDataCodes
DataTransfer.JobAttachments;NULL;DataTransfer.JobAttachments
DataTransfer.Jobs;NULL;DataTransfer.Jobs
DataTransfer.LogDetails;;DataTransfer.LogDetails
DataTransfer.Logs;;DataTransfer.Logs
DataTransfer.PriceDeviationReports;;DataTransfer.PriceDeviationReports
DataTransfer.SupplierCatalogArticles;2.0.0.38;DataTransfer.SupplierCatalogArticles
DataTransfer.SupplierCatalogs;;DataTransfer.SupplierCatalogs
DataTransfer.SupplierCatalogSupplierArticles;2.0.2.022;DataTransfer.SupplierCatalogSupplierArticles
DataTransfer.SupplierPrices;;DataTransfer.SupplierPrices
Extensions.ArticleLifecycle;NULL;NULL
Extensions.BrandPrioWhiteList;NULL;NULL
Extensions.Examples;NULL;NULL
Extensions.PriceHammerManufacturerWhiteList;1.1.005;Extensions.PriceHammerManufacturerWhiteList
Limex.LinkingTargets.CommercialVehiclesMetaData;1.0.0.0;Lx16
Limex.LinkingTargets.ModelsMetaData;1.0.0.0;Lx16
Limex.LinkingTargets.PassengerCarMetaData;1.0.0.0;Lx16
Limex.LinkingTargets.TyreSizes;1.0.0.0;Lx16
Limex.Manufacturer.LinkingTargetBrandsMetaData;1.0.0.0;Lx16
Lookup.AccessoryListTypes;;Lookup.AccessoryListTypes
Lookup.AmountTypes;2.0.2.052;Lookup.AmountTypes
Lookup.ArticleDataSources;2.0.2.192;Lookup.DataSources
Lookup.ArticleSizes;2.0.2.005;Lookup.ArticleSizes
Lookup.ArticleStatus;;Lookup.ArticleStatus
Lookup.ArticleTypes;2.0.2.030;Lookup.ArticleTypes
Lookup.BonusAgreementValueBases;2.0.2.009;Lookup.BonusAgreementValueBases
