TD-ArticleNo;TD-ArtNo;ManufacturerArticleNo;PDM-ArticleID;PDM-K24Nr;Manufacturer:Link;DataSupplier:Link
OPTIMAL-G5-870;G5-870;G5-870;3104910;NULL;OPT;129
OPTIMAL-G5-871;G5-871;G5-871;3104911;NULL;OPT;129
OPTIMAL-G6-786;G6-786;G6-786;3105019;NULL;OPT;129
OPTIMAL-G6-789;G6-789;G6-789;3105020;NULL;OPT;129
OPTIMAL-06-S534;06-S534;06-S534;3106680;NULL;OPT;129
OPTIMAL-06-S723;06-S723;06-S723;3106701;NULL;OPT;129
OPTIMAL-06-S765;06-S765;06-S765;3106706;NULL;OPT;129
OPTIMAL-06-S767;06-S767;06-S767;3106708;NULL;OPT;129
OPTIMAL-06-S778;06-S778;06-S778;3106709;NULL;OPT;129
OPTIMAL-06-S824;06-S824;06-S824;3106710;NULL;OPT;129
OPTIMAL-100053L1;100053L1;100053L1;3109180;NULL;OPT;129
OPTIMAL-982473;982473;982473;3109283;NULL;OPT;129
OPTIMAL-982875;982875;982875;3109287;NULL;OPT;129
JAPANPARTS-DI-020;DI-020;DI-020;3304450;NULL;JPP;156
JAPANPARTS-DI-030;DI-030;DI-030;3304452;NULL;JPP;156
JAPANPARTS-DI-033;DI-033;DI-033;3304453;NULL;JPP;156
JAPANPARTS-DI-116;DI-116;DI-116;3304458;NULL;JPP;156
JAPANPARTS-DI-164;DI-164;DI-164;3304463;NULL;JPP;156
JAPANPARTS-DI-174;DI-174;DI-174;3304466;NULL;JPP;156
JAPANPARTS-DI-2021;DI-2021;DI-2021;3304474;NULL;JPP;156
JAPANPARTS-DI-2030;DI-2030;DI-2030;3304475;NULL;JPP;156
JAPANPARTS-DI-2042;DI-2042;DI-2042;3304478;NULL;JPP;156
JAPANPARTS-DI-2045;DI-2045;DI-2045;3304479;NULL;JPP;156
JAPANPARTS-DI-2050;DI-2050;DI-2050;3304482;NULL;JPP;156
JAPANPARTS-DI-306;DI-306;DI-306;3304493;NULL;JPP;156
JAPANPARTS-DI-361;DI-361;DI-361;3304499;NULL;JPP;156
JAPANPARTS-DI-362;DI-362;DI-362;3304500;NULL;JPP;156
JAPANPARTS-DI-363;DI-363;DI-363;3304501;NULL;JPP;156
JAPANPARTS-DI-440;DI-440;DI-440;3304504;NULL;JPP;156
JAPANPARTS-DI-442;DI-442;DI-442;3304506;NULL;JPP;156
JAPANPARTS-DI-513;DI-513;DI-513;3304511;NULL;JPP;156
JAPANPARTS-DI-549;DI-549;DI-549;3304514;NULL;JPP;156
JAPANPARTS-DI-611;DI-611;DI-611;3304524;NULL;JPP;156
JAPANPARTS-DI-699;DI-699;DI-699;3304528;NULL;JPP;156
JAPANPARTS-DI-833;DI-833;DI-833;3304535;NULL;JPP;156
JAPANPARTS-DI-904;DI-904;DI-904;3304538;NULL;JPP;156
JAPANPARTS-DI-911;DI-911;DI-911;3304541;NULL;JPP;156
JAPANPARTS-DI-924;DI-924;DI-924;3304543;NULL;JPP;156
JAPANPARTS-DI-929;DI-929;DI-929;3304544;NULL;JPP;156
JAPANPARTS-DI-H28;DI-H28;DI-H28;3304548;NULL;JPP;156
JAPANPARTS-DI-H33;DI-H33;DI-H33;3304551;NULL;JPP;156
JAPANPARTS-DI-L15;DI-L15;DI-L15;3304554;NULL;JPP;156
JAPANPARTS-DI-L16;DI-L16;DI-L16;3304555;NULL;JPP;156
JAPANPARTS-DP-010;DP-010;DP-010;3304561;NULL;JPP;156
JAPANPARTS-DP-0600;DP-0600;DP-0600;3304562;NULL;JPP;156
JAPANPARTS-DP-250;DP-250;DP-250;3304566;NULL;JPP;156
JAPANPARTS-DP-254;DP-254;DP-254;3304567;NULL;JPP;156
