LongDesignation;PassengerCarNo
AIWAYS U5 EV;141933
AIXAM CITY Electric;106507
AIXAM CITY Electric;132970
AIXAM COUPE Electric;132976
AIXAM COUPE Electric;100179
AIXAM MEGA Electric;122694
AUDI E-TRON (GEN) 50 quattro;138779
AUDI E-TRON (GEN) 55 quattro;134328
AUDI E-TRON (GEN) S quattro;141870
AUDI E-TRON (GEN) S quattro;141871
AUDI E-TRON Sportback (GEA) 50 quattro;138780
AUDI E-TRON Sportback (GEA) 55 quattro;138500
AUDI E-TRON Sportback (GEA) S quattro;141875
AUDI E-TRON Sportback (GEA) S quattro;143011
BLUECAR BLUESUMMER Cabriolet EV50;127076
BLUECAR BLUEUTILITY EV50;127075
BMW i3 (I01) Electric;108045
BMW i3 (I01) Electric;24378
BMW i3 (I01) s Electric;128458
BMW i3 (I01) s Electric;128460
BMW iX3 (G08) Electric;141225
BMW iX3 (G08) Electric;141226
BMW MOTORCYCLES C C evolution;124228
BMW MOTORCYCLES C C evolution;109482
BYD e6 EV;121150
BYD e6 EV;52178
CEZETA MOTORCYCLES 506 506;118724
CHEVROLET BOLT EV;121298
CHEVROLET SPARK (M300) EV;130694
CITROËN AX (ZA-_) Electric;27693
CITROËN AX (ZA-_) Electric;27694
CITROËN BERLINGO / BERLINGO FIRST Großraumlimousine (MF_, GJK_, GFK_ Electric;27776
CITROËN BERLINGO / BERLINGO FIRST Großraumlimousine (MF_, GJK_, GFK_ electrique;15053
CITROËN BERLINGO / BERLINGO FIRST Kasten/Großraumlimousine (M_) Electric;23826
CITROËN BERLINGO / BERLINGO FIRST Kasten/Großraumlimousine (M_) Electric;59304
CITROËN BERLINGO Kasten/Großraumlimousine (B9) Electric;107936
CITROËN BERLINGO Kasten/Großraumlimousine (B9) Electric;108166
CITROËN BERLINGO MULTISPACE (B9) Electric;139908
CITROËN C4 III (B_) e-C4 (BCZKXC);141260
CITROËN C-ZERO C-Zero;32966
CITROËN C-ZERO C-Zero;5241
CITROËN C-ZERO C-Zero;112395
CITROËN E-MEHARI Electric;121049
CITROËN JUMPY Kasten (V_) E-JUMPY;141435
CITROËN SAXO (S0, S1) Electric;23825
CITROËN SPACETOURER Bus (V_) E-SPACETOURER;141677
COMARTH CR SPORT Electric;138633
COMARTH CROSS RIDER Electric;138634
COMARTH T-BUS Electric;138637
COMARTH T-BUS Electric;138638
COMARTH T-TRUCK Electric;138635
COMARTH T-TRUCK Electric;138636
DACIA SPRING EV;142185
DS DS 3 CROSSBACK (UR_, UC_, UJ_) E-TENSE (UJZKXZ);136144
E.GO LIFE 60;140382
EMCO MOTORCYCLES NOVA Nova R 2000;118845
EMCO MOTORCYCLES NOVANTIC Novantic C 2000;118847
EMCO MOTORCYCLES NOVAX Novax S 4000;118848
EMCO MOTORCYCLES NOVI Novi C1500;118849
EMCO MOTORCYCLES NOVUM Novum S 3000;118850
EMCO MOTORCYCLES NOVUM Novum S 5000;118851
FIAT 500 (312_) Electric (EV);133270
FIAT 500 (312_) Electric (EV);105957
FIAT 500e (332_) Elektro (FA1);142461
FIAT 500e (332_) Elektro 3+1 (FA1);142459
FIAT 500e Cabriolet (332_) Elektro (FA1);142467
FIAT 500e Cabriolet (332_) Elektro (FA1);142468
FIAT FIORINO Kasten/Großraumlimousine (225_) Ecargo (EV);133268
FIAT SEICENTO / 600 (187_) Elektra (187AEA1A, 187BEA1A);14525
FIAT SEICENTO / 600 (187_) Elettrica;27856
FIAT SEICENTO / 600 (187_) Elettrica (187BEA1A);27855
FIAT SEICENTO / 600 Kasten/Schrägheck (287_) Elettrica;139119
FORD FOCUS III Electric;100022
FORD TOURNEO CONNECT ELECTRIC;57014
FORD USA MUSTANG MACH-E AWD;139221
FORD USA MUSTANG MACH-E AWD;139222
FORD USA MUSTANG MACH-E First Edition;139220
FORD USA MUSTANG MACH-E Mach E;139218
FORD USA MUSTANG MACH-E Mach E;139219
GERMAN E CARS CETOS Elektro;126024
GERMAN E CARS PLANTOS Kasten Elektro;126025
GERMAN E CARS PLANTOS Pritsche/Fahrgestell Elektro;126026
GERMAN E CARS STROMOS Elektro;126023
GOUPIL G2 Pritsche/Fahrgestell Electric (G2M);141925
GOUPIL G3 Pritsche/Fahrgestell Electric (G3S);141951
GOUPIL G3L Pritsche/Fahrgestell Electric (G3L);141952
GOUPIL G4 Kasten Electric (GWM);128589
GOUPIL G4 Kipper Electric (GWM);128590
GOUPIL G4 Pritsche/Fahrgestell Electric (GWM);128588
GOUPIL G4L Pritsche/Fahrgestell Electric (GWL);141921
GOUPIL G5 Kasten Electric;142135
GOUPIL G5 Kasten Electric (G5E);128593
GOUPIL G5 Kipper Electric;142136
GOUPIL G5 Kipper Electric (G5E);128594
GOUPIL G5 Pritsche/Fahrgestell Electric (G5E);128592
GOUPIL G5 Pritsche/Fahrgestell Electric (G5E);142134
GOUPIL G6 Pritsche/Fahrgestell Electric (G6M);141922
GOVECS MOTORCYCLES GO! GO! S1.3;119654
GOVECS MOTORCYCLES GO! GO! S1.5;122978
GOVECS MOTORCYCLES GO! GO! S2.4;119656
GOVECS MOTORCYCLES GO! GO! S2.5;122979
GOVECS MOTORCYCLES GO! GO! S2.6;122980
GOVECS MOTORCYCLES GO! GO! S2.6+;122981
GOVECS MOTORCYCLES GO! GO! S3.4;119657
GOVECS MOTORCYCLES GO! GO! S3.6;122982
GOVECS MOTORCYCLES GO! GO! T1.3;119659
GOVECS MOTORCYCLES GO! GO! T1.4;119660
GOVECS MOTORCYCLES GO! GO! T1.5;122983
GOVECS MOTORCYCLES GO! GO! T2.4;119661
GOVECS MOTORCYCLES GO! GO! T2.5;122984
GOVECS MOTORCYCLES GO! GO! T2.6;122985
GOVECS MOTORCYCLES GO! GO! T2.6+;122986
GOVECS MOTORCYCLES GO! GO! T3.4;119662
GOVECS MOTORCYCLES SCHWALBE Schwalbe;122988
HARLEY-DAVIDSON MC LIVEWIRE LiveWire;142183
HONDA e (ZC7_) Electric (ZC7);137651
HONDA e (ZC7_) Electric Advance (ZC7);137652
HYUNDAI IONIQ (AE) Electric;139239
HYUNDAI IONIQ (AE) Electric;120520
HYUNDAI IONIQ (AE) Elektro;128033
HYUNDAI ix35 (LM, EL, ELH) Fuel Cell;109541
HYUNDAI KONA (OS, OSE, OSI) EV;131061
HYUNDAI KONA (OS, OSE, OSI) EV;136149
HYUNDAI KONA Kasten/SUV (OS, OSE, OSI) EV;141516
IVECO DAILY CITYS Bus 50C/E;119901
IVECO DAILY LINE Bus 50C/E;119902
IVECO DAILY V Kasten 35S, 35C Electric;111528
IVECO DAILY V Pritsche/Fahrgestell 50 C Electric;106485
IVECO DAILY VI Kasten 35S/E;127620
IVECO DAILY VI Kasten 35S/E;127609
IVECO DAILY VI Kasten 45C/E, 50C/E;127611
IVECO DAILY VI Kasten 45C/E, 50C/E;127621
IVECO DAILY VI Pritsche/Fahrgestell 35S/E, 35C/E;127615
IVECO DAILY VI Pritsche/Fahrgestell 45C/E, 50C/E;127618
JAC iEV6S EV;120582
JAC iEV7S EV;132213
JAGUAR I-PACE (X590) EV320 AWD;142696
JAGUAR I-PACE (X590) EV400 AWD;130530
KIA NIRO (DE) E-NIRO;133722
KIA NIRO (DE) E-NIRO;133723
KIA SOUL II (PS) EV Electric;108081
KIA SOUL II (PS) EV Electric;121827
KIA SOUL II (PS) EV Electric;127078
KIA SOUL III (SK3) E-SOUL;136367
KIA SOUL III (SK3) E-SOUL;135339
KIA SOUL III Cargo (SK3) E-SOUL;140808
KIA SOUL III Cargo (SK3) E-SOUL;141349
KREIDLER MOTORCYCLES E-FLORETT e-Florett 1.0;119517
KREIDLER MOTORCYCLES E-FLORETT e-Florett 3.0;119518
KTM MOTORCYCLES FREERIDE Freeride E-XC;115063
KTM MOTORCYCLES SX Freeride E-SX;101653
LEXUS UX (_AA1_, _AH1_, _MA1_) 300e (KMA10);140369
LIGIER PULSE 3 Threewheeler Electric;141702
LIGIER PULSE 4 Pritsche/Fahrgestell Electric;141521
MAN TGE Kasten eTGE (35V, UXB);134086
MAXUS eDELIVER 3 Kasten Electric;140865
MAXUS V80 Kasten EV80;140806
MAXUS V80 Pritsche/Fahrgestell EV80;140807
MAZDA MX-30 (DR) e-SKYACTIV;141883
MAZDA MX-30 (DR) e-SKYACTIV (DR1W);138574
MEGA e-Worker electric;112054
MERCEDES-BENZ A-KLASSE (W169) E-CELL (169.090);6438
MERCEDES-BENZ B-KLASSE Sports Tourer (W246, W242) Electric Drive / B 250 e (242.890);108181
MERCEDES-BENZ B-KLASSE Sports Tourer (W246, W242) Electric Drive / B 250 e (242.890);109338
MERCEDES-BENZ EQC (N293) EQC 400 4-matic (293.890, 293.891);136178
MERCEDES-BENZ eSPRINTER Kasten (910) Electric (910.633);140321
MERCEDES-BENZ eVITO Kasten (W447) Electric (447603, 447605);136003
MERCEDES-BENZ eVITO Tourer (W447) Electric (447703, 447705);136036
MERCEDES-BENZ SLS AMG (C197) Electric Drive;121671
MERCEDES-BENZ SPRINTER 3-t Bus (903) 308 E (903.372);14872
MERCEDES-BENZ SPRINTER 3-t Kasten (903) 308 E (903.362);134112
MERCEDES-BENZ SPRINTER 3-t Pritsche/Fahrgestell (903) 308 E (903.312, 903.322);134113
MERCEDES-BENZ VITO / MIXTO Kasten (W639) E-CELL (639.601, 639.603, 639.605);59486
MERCEDES-BENZ VITO Bus (W639) E-CELL (639.703);59487
MERCEDES-BENZ V-KLASSE (W447) EQV 300 (447813, 447815);141189
MG (SAIC) ZS EV (CSA7001);140613
MG MG ZS SUV EV (CSA7001);139640
MIA ELECTRIC MIA Kasten/Schrägheck Electric;126388
MIA ELECTRIC MIA Schrägheck Electric;134076
MINI MINI (F56) Cooper SE / Electric;136727
MINI MINI (F56) Cooper SE / Electric;138184
MITSUBISHI i (HA_) MiEV (HA4W);9830
MITSUBISHI i (HA_) MiEV (HA4W);119112
MITSUBISHI i (HA_) MiEV (HA4W);32939
NISSAN EVALIA Bus e-NV (ME0M);108894
NISSAN LEAF (ZE0) Electric;650
NISSAN LEAF (ZE1) Electric;135024
NISSAN LEAF (ZE1) Electric;128580
NISSAN NV200 Kasten e-NV (ME0M);108646
NIU MOTORCYCLES N1S N1s CIVIC;123439
OPEL AMPERA-E (F17) EV150 (48);126998
OPEL CORSA F CORSA-e (68);136963
OPEL MOKKA MOKKA-e (76);141005
OPEL VIVARO C Bus (K0) VIVARO-E;142502
OPEL VIVARO C Kasten (K0) VIVARO-E;142501
OPEL VIVARO C Platform Cabin (K0) VIVARO-E;142503
OPEL ZAFIRA LIFE Bus (K0) E LIFE;141874
PEUGEOT 106 I (1A, 1C) Electric;21079
PEUGEOT 106 II (1A_, 1C_) Electric;27770
PEUGEOT 106 Van II Kasten/Schrägheck (1S_) Electric;13514
PEUGEOT 2008 II (UD_, US_, UY_, UK_) e-2008;137598
PEUGEOT 208 II (UB_, UP_, UW_, UJ_) e-208;136533
PEUGEOT EXPERT Kasten (V_) E-EXPERT;141357
PEUGEOT EXPERT Pritsche/Fahrgestell (V_) E-EXPERT;141534
PEUGEOT ION Electric;686
PEUGEOT ION Electric;5312
PEUGEOT ION Electric;112396
PEUGEOT MOTORCYCLES SCOOTELEC Scoot´Elec;115341
PEUGEOT MOTORCYCLES VIVACITY Vivacity E;109127
PEUGEOT PARTNER Großraumlimousine (5_, G_) Electric;30345
PEUGEOT PARTNER Kasten/Großraumlimousine (5_, G_) Electric;27833
