LongDesignation;PassengerCarNo
AIWAYS U5 EV;141933
AIXAM CITY Electric;106507
AIXAM CITY Electric;132970
AIXAM COUPE Electric;132976
AIXAM COUPE Electric;100179
AIXAM MEGA Electric;122694
AUDI A3 Sportback (8VA, 8VF) 1.4 TFSI e-tron;106380
AUDI A3 Sportback (8YA) 40 TFSIe;142419
AUDI A4 B5 Avant (8D5) 1.9 Hybrid;18026
AUDI A6 C7 (4G2, 4GC) 2.0 TFSI hybrid;12078
AUDI A6 C8 (4A2) 50 TFSI e quattro;139279
AUDI A6 C8 (4A2) 50 TFSI e quattro;138833
AUDI A6 C8 (4A2) 55 TFSI e quattro;138834
AUDI A6 C8 (4A2) 55 TFSI e quattro;139278
AUDI A6 C8 Avant (4A5) 55 TFSI e quattro;140539
AUDI A6 C8 Avant (4A5) 55 TFSI e quattro;140538
AUDI A7 Sportback (4KA) 50 TFSI e quattro;138846
AUDI A7 Sportback (4KA) 55 TFSI e quattro;138848
AUDI A7 Sportback (4KA) 55 TFSI e quattro;142514
AUDI A8 (4H2, 4H8, 4HC, 4HL) 2.0 TFSI hybrid;12156
AUDI A8 (4N2, 4N8) 60 TFSI e quattro;138394
AUDI A8 (4N2, 4N8) 60 TFSI e quattro;138230
AUDI E-TRON (GEN) 50 quattro;138779
AUDI E-TRON (GEN) 55 quattro;134328
AUDI E-TRON (GEN) S quattro;141871
AUDI E-TRON (GEN) S quattro;141870
AUDI E-TRON Sportback (GEA) 50 quattro;138780
AUDI E-TRON Sportback (GEA) 55 quattro;138500
AUDI E-TRON Sportback (GEA) S quattro;141875
AUDI E-TRON Sportback (GEA) S quattro;143011
AUDI Q5 (8RB) 2.0 Hybrid quattro;56939
AUDI Q5 (8RB) 2.0 TFSI Hybrid quattro;11054
AUDI Q5 (FYB, FYG) 50 TFSI e quattro;138940
AUDI Q5 (FYB, FYG) 50 TFSI e quattro;139155
AUDI Q5 (FYB, FYG) 55 TFSI e quattro;137093
AUDI Q5 (FYB, FYG) 55 TFSI e quattro;142193
AUDI Q7 (4MB, 4MG) 3.0 TDI e-tron quattro;117760
AUDI Q7 (4MB, 4MG) 55 TFSI e quattro;138851
AUDI Q7 (4MB, 4MG) 60 TFSI e quattro;138853
AUDI Q7 (4MB, 4MG) 60 TFSI e quattro;140542
AUDI Q8 (4MN) 55 TFSI e quattro;142434
AUDI Q8 (4MN) 55 TFSI e quattro;142432
AUDI Q8 (4MN) 60 TFSI e quattro;142435
AUDI Q8 (4MN) 60 TFSI e quattro;142436
BENTLEY BENTAYGA (4V1) 3.0 Hybrid;137036
BENTLEY BENTAYGA (4V1) 3.0 Hybrid;134985
BLUECAR BLUESUMMER Cabriolet EV50;127076
BLUECAR BLUEUTILITY EV50;127075
BMW 2 Active Tourer (F45) 225 xe Plug-in-Hybrid;142159
BMW 2 Active Tourer (F45) 225 xe Plug-in-Hybrid;117574
BMW 2 Active Tourer (F45) 225 xe Plug-in-Hybrid;142160
BMW 2 Active Tourer (F45) 225 xe Plug-in-Hybrid;117573
BMW 3 (F30, F80) 330 e;117341
BMW 3 (F30, F80) 330 e;117343
BMW 3 (F30, F80) ActiveHybrid;57561
BMW 3 (F30, F80) ActiveHybrid;57560
BMW 3 (G20, G80) 320 e Plug-in-Hybrid;141528
BMW 3 (G20, G80) 320 e Plug-in-Hybrid;141527
BMW 3 (G20, G80) 330 e Plug-in-Hybrid;134366
BMW 3 (G20, G80) 330 e Plug-in-Hybrid;134365
BMW 3 (G20, G80) 330 e Plug-in-Hybrid;140967
BMW 3 (G20, G80) 330 e Plug-in-Hybrid xDrive;139466
BMW 3 (G20, G80) 330 e Plug-in-Hybrid xDrive;139467
BMW 3 Touring (G21, G81) 320 e Plug-in-Hybrid;141531
BMW 3 Touring (G21, G81) 320 e Plug-in-Hybrid;141529
BMW 3 Touring (G21, G81) 330 e Plug-in-Hybrid;136499
BMW 3 Touring (G21, G81) 330 e Plug-in-Hybrid;136500
BMW 3 Touring (G21, G81) 330 e Plug-in-Hybrid xDrive;139469
BMW 3 Touring (G21, G81) 330 e Plug-in-Hybrid xDrive;139468
BMW 5 (F10) ActiveHybrid;58960
BMW 5 (F10) ActiveHybrid;11856
BMW 5 (G30, F90) 530 e Plug-in-Hybrid;141450
BMW 5 (G30, F90) 530 e Plug-in-Hybrid;138694
BMW 5 (G30, F90) 530 e Plug-in-Hybrid;142150
BMW 5 (G30, F90) 530 e Plug-in-Hybrid;138691
BMW 5 (G30, F90) 530 e Plug-in-Hybrid;125343
BMW 5 (G30, F90) 530 e Plug-in-Hybrid;125342
BMW 5 (G30, F90) 530 e Plug-in-Hybrid xDrive;141451
BMW 5 (G30, F90) 530 e Plug-in-Hybrid xDrive;138696
BMW 5 (G30, F90) 530 e Plug-in-Hybrid xDrive;142153
BMW 5 (G30, F90) 530 e Plug-in-Hybrid xDrive;138695
BMW 5 (G30, F90) 530 e Plug-in-Hybrid xDrive;125345
BMW 5 (G30, F90) 530 e Plug-in-Hybrid xDrive;125344
BMW 5 (G30, F90) 545 e Plug-in-Hybrid xDrive;141737
BMW 5 (G30, F90) 545 e Plug-in-Hybrid xDrive;141736
BMW 5 Touring (G31) 530 e Plug-in-Hybrid;141948
BMW 5 Touring (G31) 530 e Plug-in-Hybrid;141947
BMW 5 Touring (G31) 530 e Plug-in-Hybrid;142151
BMW 5 Touring (G31) 530 e Plug-in-Hybrid;142152
BMW 5 Touring (G31) 530 e Plug-in-Hybrid xDrive;142154
BMW 5 Touring (G31) 530 e Plug-in-Hybrid xDrive;141950
BMW 5 Touring (G31) 530 e Plug-in-Hybrid xDrive;141949
BMW 5 Touring (G31) 530 e Plug-in-Hybrid xDrive;142155
BMW 7 (G11, G12) 740 e, Le;119083
BMW 7 (G11, G12) 740 e, Le;119781
BMW 7 (G11, G12) 740 Le xDrive;119782
BMW 7 (G11, G12) 740 Le xDrive;119085
BMW 7 (G11, G12) 745 e, Le Plug-in-Hybrid;135026
BMW 7 (G11, G12) 745 e, Le Plug-in-Hybrid;135025
BMW 7 (G11, G12) 745 Le Plug-in-Hybrid xDrive;135027
BMW 7 (G11, G12) 745 Le Plug-in-Hybrid xDrive;135028
BMW i3 (I01) Electric;24378
BMW i3 (I01) Electric;108045
BMW i3 (I01) s Electric;128460
BMW i3 (I01) s Electric;128458
BMW i8 (I12) hybrid;100906
BMW i8 (I12) hybrid;109678
BMW i8 (I12) hybrid;129466
BMW i8 Roadster (I15) hybrid;129467
BMW i8 Roadster (I15) hybrid;129468
BMW iX3 (G08) Electric;141226
BMW iX3 (G08) Electric;141225
BMW MOTORCYCLES C C evolution;109482
BMW MOTORCYCLES C C evolution;124228
BMW X1 (F48) xDrive 25 e Plug-in-Hybrid;136373
BMW X1 (F48) xDrive 25 e Plug-in-Hybrid;136374
BMW X2 (F39) xDrive 25 e Plug-in-Hybrid;141041
BMW X2 (F39) xDrive 25 e Plug-in-Hybrid;141042
BMW X3 (G01, F97) xDrive 30 e Plug-in-Hybrid;138698
BMW X3 (G01, F97) xDrive 30 e Plug-in-Hybrid;138697
BMW X3 (G01, F97) xDrive 30 e Plug-in-Hybrid;135708
BMW X3 (G01, F97) xDrive 30 e Plug-in-Hybrid;135706
BMW X5 (F15, F85) xDrive 40e;116697
BMW X5 (F15, F85) xDrive 40e;116698
BMW X5 (F15, F85) xDrive 40e;115942
BMW X5 (F15, F85) xDrive 40e;113842
BMW X5 (G05, F95) xDrive 45 e Plug-in-Hybrid;139154
BMW X5 (G05, F95) xDrive 45 e Plug-in-Hybrid;133258
BMW X5 (G05, F95) xDrive 45 e Plug-in-Hybrid;133260
BMW X5 (G05, F95) xDrive 45 e Plug-in-Hybrid;139152
BMW X6 (E71, E72) ActiveHybrid;5756
BMW X6 (E71, E72) ActiveHybrid xDrive;108869
BYD e6 EV;121150
BYD e6 EV;52178
BYD F3 Stufenheck DM Hybrid 1.0;31618
CADILLAC ESCALADE 6.0 HYBRID;113785
CADILLAC ESCALADE 6.0 HYBRID;10493
CADILLAC ESCALADE 6.0 HYBRID AWD;113787
CADILLAC ESCALADE 6.0 HYBRID AWD;8486
CEZETA MOTORCYCLES 506 506;118724
CHEVROLET BOLT EV;121298
CHEVROLET SILVERADO 2500 5.3 Hybrid;57785
CHEVROLET SILVERADO 2500 5.3 Hybrid 4WD;130698
CHEVROLET SPARK (M300) EV;130694
CHEVROLET TAHOE (GMT900) 6.0 Hybrid 4WD;119774
CITROËN AX (ZA-_) Electric;27693
CITROËN AX (ZA-_) Electric;27694
CITROËN BERLINGO / BERLINGO FIRST Großraumlimousine (MF_, GJK_, GFK_ Electric;27776
CITROËN BERLINGO / BERLINGO FIRST Großraumlimousine (MF_, GJK_, GFK_ electrique;15053
CITROËN BERLINGO / BERLINGO FIRST Kasten/Großraumlimousine (M_) Electric;23826
CITROËN BERLINGO / BERLINGO FIRST Kasten/Großraumlimousine (M_) Electric;59304
CITROËN BERLINGO Kasten/Großraumlimousine (B9) Electric;107936
CITROËN BERLINGO Kasten/Großraumlimousine (B9) Electric;108166
CITROËN BERLINGO MULTISPACE (B9) Electric;139908
CITROËN C4 III (B_) e-C4 (BCZKXC);141260
CITROËN C5 AIRCROSS 1.6 Hybrid;138210
CITROËN C5 AIRCROSS 1.6 Hybrid;138209
CITROËN C-ZERO C-Zero;5241
CITROËN C-ZERO C-Zero;32966
CITROËN C-ZERO C-Zero;112395
CITROËN DS5 1.6 THP 165 Hybrid;108053
CITROËN DS5 2.0 HDi 165 Hybrid4 4x4;15114
CITROËN DS5 2.0 HDi 200 Hybrid4 Allrad;53387
CITROËN E-MEHARI Electric;121049
CITROËN JUMPY Kasten (V_) E-JUMPY;141435
CITROËN SAXO (S0, S1) Electric;23825
CITROËN SPACETOURER Bus (V_) E-SPACETOURER;141677
COMARTH CR SPORT Electric;138633
COMARTH CROSS RIDER Electric;138634
COMARTH T-BUS Electric;138638
COMARTH T-BUS Electric;138637
COMARTH T-TRUCK Electric;138636
COMARTH T-TRUCK Electric;138635
CUPRA LEON e-HYBRID;142455
CUPRA LEON e-HYBRID;142280
CUPRA LEON Sportstourer e-HYBRID;142281
CUPRA LEON Sportstourer e-HYBRID;142454
DACIA SPRING EV;142185
DS DS 3 CROSSBACK (UR_, UC_, UJ_) E-TENSE (UJZKXZ);136144
DS DS 5 (KF_) 2.0 Hybrid4;136142
DS DS 5 (KF_) 2.0 Hybrid4 4x4;118021
DS DS 7 Crossback (J_) E-TENSE;139109
DS DS 7 Crossback (J_) E-TENSE;138688
DS DS 7 Crossback (J_) E-TENSE 4x4;136139
DS DS 7 Crossback (J_) E-TENSE 4x4;136141
E.GO LIFE 60;140382
EMCO MOTORCYCLES NOVA Nova R 2000;118845
EMCO MOTORCYCLES NOVANTIC Novantic C 2000;118847
EMCO MOTORCYCLES NOVAX Novax S 4000;118848
EMCO MOTORCYCLES NOVI Novi C1500;118849
EMCO MOTORCYCLES NOVUM Novum S 3000;118850
EMCO MOTORCYCLES NOVUM Novum S 5000;118851
FERRARI SF90 Stradale PHEV 4WD;140749
FERRARI SF90 Stradale PHEV 4WD;140456
FIAT 500 (312_) Electric (EV);133270
FIAT 500 (312_) Electric (EV);105957
FIAT 500e (332_) Elektro (FA1);142461
FIAT 500e (332_) Elektro 3+1 (FA1);142459
FIAT 500e Cabriolet (332_) Elektro (FA1);142468
FIAT 500e Cabriolet (332_) Elektro (FA1);142467
FIAT FIORINO Kasten/Großraumlimousine (225_) Ecargo (EV);133268
